method,k,assumption,setting,reject_rate,rmse,mean_p
DM,1,static,power,0.07,,0.539810379241517
DM,2,static,power,0.075,,0.5013772455089821
DM,3,static,power,0.115,,0.5004890219560878
DM,4,static,power,0.16,,0.4322255489021956
DM,5,static,power,0.13,,0.4227944111776447
Oracle,1,static,power,0.435,,0.1870059880239521
Oracle,2,static,power,0.58,,0.12390219560878243
Oracle,3,static,power,0.72,,0.09095808383233533
Oracle,4,static,power,0.835,,0.05459081836327345
Oracle,5,static,power,0.88,,0.04087824351297405
RV,1,static,power,0.195,0.7828931932625696,0.3999700598802395
RV,2,static,power,0.255,0.8357571622830322,0.3598702594810379
RV,3,static,power,0.4,0.9381677676147957,0.2957684630738523
RV,4,static,power,0.4,1.0004518515414598,0.23683632734530938
RV,5,static,power,0.47,1.0928911172203488,0.19291417165668662
SS,1,static,power,0.105,1.0456897833070622,0.49752495009980036
SS,2,static,power,0.14,0.9994805122271707,0.45470059880239516
SS,3,static,power,0.15,1.0622691332411236,0.4580439121756487
SS,4,static,power,0.13,1.1666084597839834,0.47566866267465074
SS,5,static,power,0.185,1.2888608386651115,0.44969061876247507
cDM,1,static,power,0.045,,0.613562874251497
cDM,2,static,power,0.08,,0.5424451097804391
cDM,3,static,power,0.155,,0.48357285429141716
cDM,4,static,power,0.21,,0.3963373253493014
cDM,5,static,power,0.3,,0.3349800399201597
