method,l,t,assumption,setting,reject_rate,rmse,mean_p
DM,0,1,static,power,0.145,,0.45895209580838325
DM,0,2,static,power,0.125,,0.4991317365269461
DM,0,3,static,power,0.15,,0.46619760479041916
DM,0,4,static,power,0.15,,0.46404191616766466
DM,0,5,static,power,0.085,,0.5047205588822355
DM,1,1,static,power,0.135,,0.4739720558882235
DM,1,2,static,power,0.12,,0.5026047904191617
DM,1,3,static,power,0.145,,0.46417165668662674
DM,1,4,static,power,0.09,,0.4930738522954092
DM,2,1,static,power,0.145,,0.4763672654690619
DM,2,2,static,power,0.09,,0.49320359281437126
DM,2,3,static,power,0.085,,0.4852694610778443
DM,3,1,static,power,0.15,,0.4727345309381238
DM,3,2,static,power,0.08,,0.5034930139720558
DM,4,1,static,power,0.13,,0.4975748502994012
Oracle,0,1,static,power,0.955,,0.015838323353293413
Oracle,0,2,static,power,1.0,,0.003083832335329341
Oracle,0,3,static,power,1.0,,0.0032235528942115765
Oracle,0,4,static,power,1.0,,0.005139720558882235
Oracle,0,5,static,power,0.95,,0.026506986027944112
Oracle,1,1,static,power,0.965,,0.015688622754491018
Oracle,1,2,static,power,0.995,,0.004001996007984032
Oracle,1,3,static,power,1.0,,0.0049800399201596806
Oracle,1,4,static,power,0.945,,0.02399201596806387
Oracle,2,1,static,power,0.93,,0.023622754491017965
Oracle,2,2,static,power,1.0,,0.004940119760479042
Oracle,2,3,static,power,0.94,,0.023502994011976044
Oracle,3,1,static,power,0.935,,0.03037924151696607
Oracle,3,2,static,power,0.945,,0.024820359281437127
Oracle,4,1,static,power,0.845,,0.061467065868263476
RV,0,1,static,power,0.67,0.9617926584108772,0.12315369261477045
RV,0,2,static,power,0.635,0.9716636728198561,0.14550898203592813
RV,0,3,static,power,0.42,0.9741476042737149,0.24905189620758483
RV,0,4,static,power,0.56,0.9542506492422071,0.16543912175648703
RV,0,5,static,power,0.52,0.9328361111374833,0.17451097804391216
RV,1,1,static,power,0.55,0.9614979845468564,0.17050898203592815
RV,1,2,static,power,0.5,0.9564334537991418,0.17924151696606785
RV,1,3,static,power,0.51,0.9688187913486602,0.19318363273453096
RV,1,4,static,power,0.475,0.9481671131110804,0.17963073852295408
RV,2,1,static,power,0.385,0.9401108346788163,0.21065868263473053
RV,2,2,static,power,0.53,0.9435661523749593,0.1762375249500998
RV,2,3,static,power,0.495,0.9699746244626007,0.19698602794411177
RV,3,1,static,power,0.425,0.9165526563360302,0.23252495009980043
RV,3,2,static,power,0.5,0.9299983263805831,0.18499001996007983
RV,4,1,static,power,0.395,0.8714975084991359,0.24542914171656688
SS,0,1,static,power,0.325,0.7768169347205152,0.39355289421157685
SS,0,2,static,power,0.33,0.7790868036190287,0.4286027944111776
SS,0,3,static,power,0.39,0.7768875915149756,0.37724550898203596
SS,0,4,static,power,0.28,0.7728322644352282,0.4156986027944112
SS,0,5,static,power,0.205,0.765278797371353,0.420059880239521
SS,1,1,static,power,0.265,0.8465352598394925,0.39509980039920156
SS,1,2,static,power,0.285,0.8511921446335344,0.42693612774451095
SS,1,3,static,power,0.265,0.8450434837920591,0.4176546906187625
SS,1,4,static,power,0.195,0.8338066569200473,0.3967165668662675
SS,2,1,static,power,0.215,0.9432410974756316,0.4413972055888224
SS,2,2,static,power,0.23,0.9450447433162955,0.43420159680638726
SS,2,3,static,power,0.17,0.928926431389365,0.4414071856287425
SS,3,1,static,power,0.17,1.1397114928568686,0.4388622754491018
SS,3,2,static,power,0.12,1.1365469828410668,0.44259481037924153
SS,4,1,static,power,0.135,1.658564075360664,0.4674850299401198
cDM,0,1,static,power,0.145,,0.4455588822355289
cDM,0,2,static,power,0.155,,0.4486327345309381
cDM,0,3,static,power,0.165,,0.4295409181636727
cDM,0,4,static,power,0.13,,0.4346307385229541
cDM,0,5,static,power,0.13,,0.5049500998003992
cDM,1,1,static,power,0.18,,0.45609780439121755
cDM,1,2,static,power,0.14,,0.45858283433133734
cDM,1,3,static,power,0.15,,0.4241616766467066
cDM,1,4,static,power,0.105,,0.4827245508982036
cDM,2,1,static,power,0.14,,0.45312375249500997
cDM,2,2,static,power,0.105,,0.4618862275449102
cDM,2,3,static,power,0.15,,0.4746806387225549
cDM,3,1,static,power,0.15,,0.4467664670658682
cDM,3,2,static,power,0.12,,0.4944111776447106
cDM,4,1,static,power,0.125,,0.49138722554890224
