rep,method,rmse,l,n_terms,pvalue,reject,assumption,setting,n_perms,alpha
0,RV,0.9634685155712897,0,5,0.003793806117987515,1,static,power,500,0.1
0,Oracle,,0,5,1.90396173282386e-08,1,static,power,500,0.1
0,DM,,0,5,0.981800235775227,0,static,power,500,0.1
0,cDM,,0,5,0.6455962402845593,0,static,power,500,0.1
0,SS,0.4962251869023967,0,5,0.0017771454524932303,1,static,power,500,0.1
0,RV,1.0278985003706138,1,4,0.03891350552030771,1,static,power,500,0.1
0,Oracle,,1,4,1.5603663519317593e-07,1,static,power,500,0.1
0,DM,,1,4,0.9852723164473972,0,static,power,500,0.1
0,cDM,,1,4,0.26192289532203566,0,static,power,500,0.1
0,SS,0.5958924581679047,1,4,0.010718073439779234,1,static,power,500,0.1
0,RV,0.9389962315119806,2,3,0.26563265492462707,0,static,power,500,0.1
0,Oracle,,2,3,3.527926193558608e-05,1,static,power,500,0.1
0,DM,,2,3,0.9973129242846369,0,static,power,500,0.1
0,cDM,,2,3,0.3438789611579924,0,static,power,500,0.1
0,SS,0.8311546857130736,2,3,0.034691483031046154,1,static,power,500,0.1
0,RV,0.9250936748864955,3,2,0.5510091877424776,0,static,power,500,0.1
0,Oracle,,3,2,0.0006020620165487896,1,static,power,500,0.1
0,DM,,3,2,0.9706173539359274,0,static,power,500,0.1
0,cDM,,3,2,0.07004381549534104,1,static,power,500,0.1
0,SS,1.1542957407147256,3,2,0.07623259357267108,1,static,power,500,0.1
0,RV,1.1494592870826665,4,1,0.7145708582834331,0,static,power,500,0.1
0,Oracle,,4,1,0.02594810379241517,1,static,power,500,0.1
0,DM,,4,1,0.9321357285429142,0,static,power,500,0.1
0,cDM,,4,1,0.14171656686626746,0,static,power,500,0.1
0,SS,2.3230211769857374,4,1,0.13772455089820362,0,static,power,500,0.1
1,RV,0.9375806867800686,0,5,0.002212149180057587,1,static,power,500,0.1
1,Oracle,,0,5,1.4173629739460852e-07,1,static,power,500,0.1
1,DM,,0,5,0.07312567074644545,1,static,power,500,0.1
1,cDM,,0,5,0.2444630992518187,0,static,power,500,0.1
1,SS,0.8718711097493512,0,5,0.5970414387870588,0,static,power,500,0.1
1,RV,0.903951827211937,1,4,0.0048614198224748734,1,static,power,500,0.1
1,Oracle,,1,4,1.648816701497601e-06,1,static,power,500,0.1
1,DM,,1,4,0.10768853879321498,0,static,power,500,0.1
1,cDM,,1,4,0.5567645817238447,0,static,power,500,0.1
1,SS,0.8725605714335914,1,4,0.1644350061950738,0,static,power,500,0.1
1,RV,0.8968644236341358,2,3,0.08459024854065182,1,static,power,500,0.1
1,Oracle,,2,3,5.0300870655742716e-05,1,static,power,500,0.1
