N,assumption,option,experiment,dgp_name,mean_rmse,sd_rmse,mean_nmse,sd_nmse,mean_mse,mean_variance
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.03345526169927171,0.010974489644962927,0.00613009980362552,0.003985700086271157,0.0012336719871857854,0.2011065808146777
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.02572939591043908,0.008404602060275032,0.003623178608801168,0.002499842234258924,0.0007291072829181197,0.20173524357342204
800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.015540085835209863,0.005435432208848055,0.0013405127613916586,0.0009446273219763518,0.0002695609948978239,0.2011914912860057
1600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.012133085465647338,0.005360351241723215,0.0008658173796593149,0.0008752188742253135,0.00017450846007961414,0.2013096743643905
3200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.00863724819167387,0.0026239248616472563,0.0004027821852452041,0.00024266810509754878,8.114278892016558e-05,0.20142277903384084
6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.00603367242281358,0.0020655536159630617,0.00020085527511282778,0.00012422332428656548,4.045838905921827e-05,0.20135613887062648
12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.004175609439872806,0.0015722832866957078,9.827106650606992e-05,7.353711510109732e-05,1.9784185191296413e-05,0.2013053949193971
25600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0029912389546796142,0.0011186117470195806,5.0347801397873834e-05,3.681499505447987e-05,1.013623811253448e-05,0.20133195896311004
