N,assumption,option,experiment,dgp_name,rmse,nmse,mse,variance
25600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.02091736309152065,8.310405940882966e-05,0.00043753607870251036,5.264918246051684
25600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.006074778147445348,7.013277852862976e-06,3.6902929540679536e-05,5.26186617939498
25600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.014885302141226684,4.207511385503025e-05,0.0002215722198356077,5.266110998511722
25600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.02567532557803961,0.0001253147735244236,0.0006592223435383351,5.260531739379109
25600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.02159312335286743,8.853853197121881e-05,0.0004662629761321487,5.266215349987016
25600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.02079146317393894,8.204095323761797e-05,0.0004322849409132591,5.269136008954183
25600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.021292742601569808,8.614180529467282e-05,0.00045338088749670576,5.263192313485723
25600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.029985511400875884,0.0001706942030561458,0.0008991308939720577,5.2674951924191
25600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.017959657848178157,6.124649684491801e-05,0.0003225493100236272,5.2664123931912865
25600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.024290807057669096,0.00011209988310714351,0.0005900433075129068,5.263549712616128
25600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.012475353417597283,2.9556621648860836e-05,0.0001556344428939562,5.265637079329553
