N,assumption,option,experiment,dgp_name,mean_rmse,sd_rmse,mean_nmse,sd_nmse,mean_mse,mean_variance
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.20721881412308862,0.07868720042620725,0.00927520904432668,0.00672617733605841,0.04882172866194757,5.263129631398963
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.1474721298729402,0.06221398378122504,0.004829044839972272,0.0041753739895480655,0.02542507987829535,5.264214654527811
800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.1049408747768883,0.051398523831241764,0.002565702101680219,0.0024498798706687665,0.013522305038367741,5.269768701750043
1600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.06059883533410282,0.027159650001749233,0.0008300112137219729,0.0008586973144026894,0.00437298310265635,5.266807201387533
3200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.044606831698670156,0.019250392508547258,0.00044505401177553336,0.0004422393629818752,0.0023418181653399603,5.264601592025942
6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.035215898525540454,0.017349920046734916,0.0002898456729524717,0.00033079064312424626,0.0015261282483078518,5.26558077963859
12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.02540739482871378,0.010852799670372433,0.00014384274062934657,0.00012581251547988815,0.0007574298096331258,5.265485232101441
25600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.01828153461444256,0.008074375982514585,7.523274990651761e-05,5.923412216722615e-05,0.0003961502779907196,5.2654194810719686
