N,assumption,option,experiment,dgp_name,rmse,nmse,mse,variance
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.012241622264400287,0.02536670180396088,0.0001498573156642608,0.00590763895213454
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.01624496827957777,0.04441285844566481,0.0002638989944044879,0.005941950228836202
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.024039929685977533,0.0992558484243631,0.0005779182193067438,0.005822510496670033
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.014583731764343837,0.03702051454921742,0.0002126852321743314,0.005745064183037602
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.014590395423173842,0.03653785995056866,0.00021287963860457218,0.005826275509637751
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.012529942745157317,0.02717901064848418,0.0001569994651969205,0.005776496695462924
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.00898103804250177,0.013926753084370098,8.065904432086401e-05,0.005791661834759397
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.020140010188236374,0.07007910176565453,0.000405620010382265,0.00578803095591413
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.01773400169777716,0.05452345041915064,0.00031449481621676325,0.005768065186613742
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.022477559390129825,0.08469572293101622,0.0005052406761368134,0.005965362342421077
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.013117480295533146,0.02870373010579302,0.00017206828930370032,0.005994631661791347
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.010814256845676325,0.020011093700307982,0.00011694815112425728,0.0058441658849689646
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.023934842930454187,0.09774139700118992,0.0005728767061055129,0.005861147105341032
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.013720517899415101,0.032006598645779004,0.0001882526114281702,0.00588168125927985
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.019482192312249326,0.06536545382256276,0.0003795558172914667,0.0058066730221408205
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.013487633271766789,0.03114266611424184,0.0001819162512736705,0.005841383348694043
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.029915018503963123,0.15196005944979565,0.0008949083320924561,0.00588910227682633
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.018135865938712546,0.05542244533103138,0.0003289096333469539,0.005934592589381748
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.01287402175853219,0.028540357533245814,0.00016574043623916024,0.005807230552248483
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.014002922794192667,0.03354544089256789,0.00019608184678012057,0.005845260684099794
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.016171402423764185,0.04472344269221448,0.00026151425635132614,0.005847364169861881
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.010115479475137818,0.017698482258456643,0.00010232292501193447,0.005781451963941303
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.00944733370317811,0.015374078472529498,8.925211409920501e-05,0.0058053635057659725
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.010503275519953989,0.018946005152272676,0.00011031879664806475,0.0058227998863829835
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.012406731335067206,0.026386305958516997,0.0001539269824205385,0.005833593480744651
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.014654094869772493,0.03666037157156335,0.0002147424964522925,0.005857619201515774
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.005529642393767375,0.005158662220449803,3.057694500294938e-05,0.00592730124522153
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.013744548472286877,0.032337220993623635,0.00018891261270704353,0.005841955706221446
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.012597486668237618,0.02721777974727754,0.00015869667035642453,0.005830625121885564
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.011186392586846406,0.021193577537932093,0.00012513537910705224,0.005904400938590286
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.013907255861656056,0.03322242261859785,0.00019341176560156673,0.005821723714191006
