method,k,assumption,setting,reject_rate,rmse,mean_p
DM,1,static,power,0.065,,0.5507784431137724
DM,2,static,power,0.065,,0.5354491017964071
DM,3,static,power,0.145,,0.45417165668662673
DM,4,static,power,0.16,,0.4601197604790419
DM,5,static,power,0.165,,0.41780439121756485
Oracle,1,static,power,0.49,,0.15976047904191618
Oracle,2,static,power,0.675,,0.10726546906187626
Oracle,3,static,power,0.855,,0.04878243512974052
Oracle,4,static,power,0.845,,0.04903193612774451
Oracle,5,static,power,0.87,,0.04142714570858283
RV,1,static,power,0.17,0.7888027138713198,0.40955089820359286
RV,2,static,power,0.31,0.8121184839262178,0.3423053892215569
RV,3,static,power,0.385,0.8903005926074049,0.2599301397205589
RV,4,static,power,0.415,0.9940381159394412,0.23151696606786426
RV,5,static,power,0.46,1.0694876145056098,0.19328343313373253
SS,1,static,power,0.12,0.9842847874156907,0.49197604790419164
SS,2,static,power,0.155,0.9243750636452781,0.4512674650698603
SS,3,static,power,0.18,0.9996155888974718,0.45293413173652697
SS,4,static,power,0.26,1.05750898771452,0.45092814371257484
SS,5,static,power,0.23,1.1996523771706602,0.4029940119760479
cDM,1,static,power,0.06,,0.6162974051896207
cDM,2,static,power,0.105,,0.5268263473053892
cDM,3,static,power,0.15,,0.42262475049900194
cDM,4,static,power,0.255,,0.3678842315369261
cDM,5,static,power,0.315,,0.3018862275449102
