rep,method,rmse,l,n_terms,pvalue,reject,assumption,setting,n_perms,alpha
0,RV,0.870696733886048,0,5,0.018865245470841115,1,static,power,500,0.1
0,Oracle,,0,5,3.607164288511711e-08,1,static,power,500,0.1
0,DM,,0,5,0.2562514362269216,0,static,power,500,0.1
0,cDM,,0,5,0.16687527340768377,0,static,power,500,0.1
0,SS,1.0672353304753277,0,5,0.46247309694307814,0,static,power,500,0.1
0,RV,0.8427747843819343,1,4,0.011529563183913115,1,static,power,500,0.1
0,Oracle,,1,4,1.648816701497601e-06,1,static,power,500,0.1
0,DM,,1,4,0.3514722467709206,0,static,power,500,0.1
0,cDM,,1,4,0.8049313423441178,0,static,power,500,0.1
0,SS,1.0016268178923016,1,4,0.6267283371918637,0,static,power,500,0.1
0,RV,0.7810741231719988,2,3,0.01604324012610585,1,static,power,500,0.1
0,Oracle,,2,3,0.00011723204443878466,1,static,power,500,0.1
0,DM,,2,3,0.1699732533914376,0,static,power,500,0.1
0,cDM,,2,3,0.10405567419712675,0,static,power,500,0.1
0,SS,1.0476550345513367,2,3,0.22261004168014883,0,static,power,500,0.1
0,RV,0.7606072697678773,3,2,0.05030312951157894,1,static,power,500,0.1
0,Oracle,,3,2,0.012928716720175122,1,static,power,500,0.1
0,DM,,3,2,0.3017985036524701,0,static,power,500,0.1
0,cDM,,3,2,0.18903491768882497,0,static,power,500,0.1
0,SS,1.2011464988167688,3,2,0.14715754847845988,0,static,power,500,0.1
0,RV,0.6644906182773446,4,1,0.04191616766467066,1,static,power,500,0.1
0,Oracle,,4,1,0.03992015968063873,1,static,power,500,0.1
0,DM,,4,1,0.7504990019960079,0,static,power,500,0.1
0,cDM,,4,1,0.6127744510978046,0,static,power,500,0.1
0,SS,1.6273712114496814,4,1,0.435129740518962,0,static,power,500,0.1
1,RV,1.0623374644429644,0,5,3.917222596747586e-06,1,static,power,500,0.1
1,Oracle,,0,5,1.4071296313922485e-09,1,static,power,500,0.1
1,DM,,0,5,0.14004037419178314,0,static,power,500,0.1
1,cDM,,0,5,0.5512244059513807,0,static,power,500,0.1
1,SS,0.4132462417474814,0,5,2.1307732898990453e-05,1,static,power,500,0.1
1,RV,0.9704550308016802,1,4,0.00020485099797738895,1,static,power,500,0.1
1,Oracle,,1,4,1.5603663519317593e-07,1,static,power,500,0.1
1,DM,,1,4,0.3210489784525691,0,static,power,500,0.1
1,cDM,,1,4,0.5472501505032725,0,static,power,500,0.1
1,SS,0.5850880454414835,1,4,0.0006637687537156049,1,static,power,500,0.1
1,RV,0.9771326384335973,2,3,0.017067730237164413,1,static,power,500,0.1
1,Oracle,,2,3,1.5392077083474292e-06,1,static,power,500,0.1
1,DM,,2,3,0.27080391239234697,0,static,power,500,0.1
