method,l,t,assumption,setting,reject_rate,rmse,mean_p
DM,0,1,static,power,0.195,,0.44097804391217565
DM,0,2,static,power,0.12,,0.44883233532934136
DM,0,3,static,power,0.075,,0.4667365269461078
DM,0,4,static,power,0.145,,0.46081836327345305
DM,0,5,static,power,0.13,,0.48284431137724554
DM,1,1,static,power,0.175,,0.4576347305389221
DM,1,2,static,power,0.125,,0.46905189620758486
DM,1,3,static,power,0.07,,0.47563872255489026
DM,1,4,static,power,0.08,,0.48283433133732534
DM,2,1,static,power,0.145,,0.4752095808383233
DM,2,2,static,power,0.185,,0.46575848303393214
DM,2,3,static,power,0.11,,0.49237524950099804
DM,3,1,static,power,0.125,,0.4739820359281437
DM,3,2,static,power,0.11,,0.4788822355289421
DM,4,1,static,power,0.115,,0.48553892215568867
Oracle,0,1,static,power,0.975,,0.010668662674650697
Oracle,0,2,static,power,1.0,,0.002245508982035928
Oracle,0,3,static,power,1.0,,0.0029640718562874246
Oracle,0,4,static,power,1.0,,0.003153692614770459
Oracle,0,5,static,power,0.975,,0.01930139720558882
Oracle,1,1,static,power,0.97,,0.010978043912175647
Oracle,1,2,static,power,1.0,,0.00280439121756487
Oracle,1,3,static,power,1.0,,0.003962075848303393
Oracle,1,4,static,power,0.96,,0.023263473053892217
Oracle,2,1,static,power,0.985,,0.011626746506986028
Oracle,2,2,static,power,1.0,,0.0034431137724550897
Oracle,2,3,static,power,0.98,,0.018642714570858282
Oracle,3,1,static,power,0.99,,0.012115768463073853
Oracle,3,2,static,power,0.97,,0.019261477045908183
Oracle,4,1,static,power,0.905,,0.04027944111776447
RV,0,1,static,power,0.695,0.9427463793767353,0.12482035928143713
RV,0,2,static,power,0.645,0.9524787061651986,0.13177644710578842
RV,0,3,static,power,0.515,0.9452993305800517,0.19727544910179642
RV,0,4,static,power,0.61,0.9324275229934691,0.15082834331337325
RV,0,5,static,power,0.59,0.9255315749060473,0.1543812375249501
RV,1,1,static,power,0.64,0.9341568395472606,0.13640718562874252
RV,1,2,static,power,0.64,0.9451318775512157,0.15617764471057882
RV,1,3,static,power,0.535,0.9466668166274905,0.1997005988023952
RV,1,4,static,power,0.585,0.9111707453747119,0.16256487025948105
RV,2,1,static,power,0.47,0.9197170181854583,0.194500998003992
RV,2,2,static,power,0.6,0.9453904936363409,0.16082834331337323
RV,2,3,static,power,0.5,0.9351665919518749,0.17604790419161678
RV,3,1,static,power,0.46,0.9081795034394764,0.21853293413173652
RV,3,2,static,power,0.565,0.9324012398535108,0.15268463073852295
RV,4,1,static,power,0.425,0.8541115172764537,0.22351297405189618
SS,0,1,static,power,0.42,0.7061270321523456,0.3443413173652694
SS,0,2,static,power,0.5,0.7054010498144772,0.354311377245509
SS,0,3,static,power,0.48,0.7008930440193762,0.3706487025948104
SS,0,4,static,power,0.395,0.6958233527275022,0.3749301397205589
SS,0,5,static,power,0.285,0.6944071677299912,0.3730938123752495
SS,1,1,static,power,0.36,0.7786062699779646,0.3867764471057884
SS,1,2,static,power,0.43,0.7789685888863326,0.3700299401197605
SS,1,3,static,power,0.45,0.7802278637578326,0.3664570858283433
SS,1,4,static,power,0.235,0.7624224872587284,0.39368263473053894
SS,2,1,static,power,0.32,0.8720882817977335,0.3882235528942116
SS,2,2,static,power,0.35,0.8825612649439606,0.38184630738522957
SS,2,3,static,power,0.23,0.8706700783321695,0.3879540918163673
SS,3,1,static,power,0.245,1.0555279570904386,0.40936127744510975
SS,3,2,static,power,0.245,1.0534366359856278,0.3751497005988024
SS,4,1,static,power,0.17,1.5599910683674083,0.44588822355289426
cDM,0,1,static,power,0.19,,0.38928143712574853
cDM,0,2,static,power,0.205,,0.40290419161676644
cDM,0,3,static,power,0.14,,0.4191117764471058
cDM,0,4,static,power,0.195,,0.40467065868263474
cDM,0,5,static,power,0.105,,0.4665568862275449
cDM,1,1,static,power,0.215,,0.40641716566866265
cDM,1,2,static,power,0.15,,0.43116766467065865
cDM,1,3,static,power,0.145,,0.4166067864271457
cDM,1,4,static,power,0.145,,0.44228542914171654
cDM,2,1,static,power,0.155,,0.4271057884231537
cDM,2,2,static,power,0.17,,0.40423153692614766
cDM,2,3,static,power,0.15,,0.4572055888223553
cDM,3,1,static,power,0.14,,0.44028942115768466
cDM,3,2,static,power,0.135,,0.4454291417165669
cDM,4,1,static,power,0.12,,0.4731636726546906
