method,l,assumption,setting,reject_rate,rmse,mean_p
DM,0,static,power,0.16,,0.4190877273336818
DM,1,static,power,0.17,,0.45383454443435267
DM,2,static,power,0.165,,0.4662444778106066
DM,3,static,power,0.145,,0.48152765377948037
DM,4,static,power,0.115,,0.48553892215568867
Oracle,0,static,power,1.0,,6.82428049293362e-08
Oracle,1,static,power,1.0,,2.260164720260805e-06
Oracle,2,static,power,1.0,,6.345270132095208e-05
Oracle,3,static,power,0.995,,0.002816096044105329
Oracle,4,static,power,0.905,,0.040279441117764464
RV,0,static,power,0.935,0.9396967028043004,0.028320047795668733
RV,1,static,power,0.875,0.9342815697751697,0.04801009480185543
RV,2,static,power,0.755,0.9334247012578913,0.08094760825569121
RV,3,static,power,0.7,0.9202903716464935,0.12000412829325315
RV,4,static,power,0.425,0.8541115172764537,0.22351297405189624
SS,0,static,power,0.575,0.7005303292887385,0.3480849686379491
SS,1,static,power,0.535,0.7750563024702146,0.35389554935334866
SS,2,static,power,0.46,0.8751065416912879,0.3590237330784327
SS,3,static,power,0.33,1.0544822965380332,0.37275344624090223
SS,4,static,power,0.17,1.5599910683674083,0.44588822355289426
cDM,0,static,power,0.315,,0.3316615599696551
cDM,1,static,power,0.255,,0.363758889214515
cDM,2,static,power,0.2,,0.39018138522062257
cDM,3,static,power,0.17,,0.4356913294983582
cDM,4,static,power,0.12,,0.4731636726546906
