method,l,t,assumption,setting,reject_rate,rmse,mean_p
DM,0,1,static,power,0.18,,0.4373053892215569
DM,0,2,static,power,0.16,,0.436187624750499
DM,0,3,static,power,0.115,,0.485998003992016
DM,0,4,static,power,0.14,,0.4497604790419162
DM,0,5,static,power,0.085,,0.48213572854291414
DM,1,1,static,power,0.165,,0.4377245508982036
DM,1,2,static,power,0.16,,0.4500898203592814
DM,1,3,static,power,0.11,,0.4733433133732535
DM,1,4,static,power,0.12,,0.4723253493013972
DM,2,1,static,power,0.15,,0.44896207584830344
DM,2,2,static,power,0.14,,0.4539321357285429
DM,2,3,static,power,0.105,,0.4926447105788423
DM,3,1,static,power,0.145,,0.4511177644710579
DM,3,2,static,power,0.115,,0.4642814371257485
DM,4,1,static,power,0.135,,0.4692914171656687
Oracle,0,1,static,power,1.0,,0.005299401197604791
Oracle,0,2,static,power,1.0,,0.0021157684630738523
Oracle,0,3,static,power,1.0,,0.00217564870259481
Oracle,0,4,static,power,1.0,,0.0029740518962075844
Oracle,0,5,static,power,0.975,,0.015039920159680637
Oracle,1,1,static,power,1.0,,0.0058682634730538915
Oracle,1,2,static,power,1.0,,0.002345309381237525
Oracle,1,3,static,power,1.0,,0.0028443113772455087
Oracle,1,4,static,power,0.98,,0.011976047904191616
Oracle,2,1,static,power,0.99,,0.006017964071856288
Oracle,2,2,static,power,1.0,,0.002774451097804391
Oracle,2,3,static,power,0.985,,0.013812375249500998
Oracle,3,1,static,power,0.995,,0.009041916167664671
Oracle,3,2,static,power,0.98,,0.014510978043912175
Oracle,4,1,static,power,0.93,,0.02935129740518962
RV,0,1,static,power,0.825,0.9076011602697349,0.07131736526946109
RV,0,2,static,power,0.75,0.9190456122466141,0.10686626746506986
RV,0,3,static,power,0.57,0.9196304300582601,0.17701596806387226
RV,0,4,static,power,0.675,0.907021091406654,0.125249500998004
RV,0,5,static,power,0.59,0.8989574132179592,0.1514870259481038
RV,1,1,static,power,0.715,0.905494821168633,0.0827245508982036
RV,1,2,static,power,0.705,0.9089599648114525,0.11322355289421157
RV,1,3,static,power,0.565,0.9194213600111619,0.15611776447105788
RV,1,4,static,power,0.645,0.884433389267367,0.14992015968063874
RV,2,1,static,power,0.655,0.8895442023634591,0.1265568862275449
RV,2,2,static,power,0.65,0.9045749814440215,0.1273952095808383
RV,2,3,static,power,0.6,0.9062507701387327,0.16193612774451097
RV,3,1,static,power,0.595,0.8755719828290642,0.14994011976047905
RV,3,2,static,power,0.59,0.8791957780024157,0.15738522954091816
RV,4,1,static,power,0.525,0.8073844042421991,0.1850499001996008
SS,0,1,static,power,0.51,0.6737259808580582,0.3022055888223553
SS,0,2,static,power,0.61,0.6747230941155705,0.32315369261477045
SS,0,3,static,power,0.605,0.6695125557461484,0.3277045908183633
SS,0,4,static,power,0.555,0.670948667855335,0.32183632734530937
SS,0,5,static,power,0.395,0.6726415980470389,0.34321357285429144
SS,1,1,static,power,0.45,0.7343605483387534,0.3313373253493014
SS,1,2,static,power,0.535,0.7431572359932023,0.32896207584830334
SS,1,3,static,power,0.535,0.7346670754415213,0.3212574850299401
SS,1,4,static,power,0.405,0.7292947540334702,0.35952095808383233
SS,2,1,static,power,0.395,0.8389902888909222,0.35794411177644714
SS,2,2,static,power,0.485,0.8478807969523143,0.32137724550898206
SS,2,3,static,power,0.355,0.8239870391833781,0.3493413173652694
SS,3,1,static,power,0.295,1.0056607420106938,0.38103792415169657
SS,3,2,static,power,0.315,1.0160030545857857,0.3483532934131736
SS,4,1,static,power,0.175,1.4935300438294632,0.4322355289421158
cDM,0,1,static,power,0.205,,0.4070658682634731
cDM,0,2,static,power,0.255,,0.372684630738523
cDM,0,3,static,power,0.2,,0.40625748502994014
cDM,0,4,static,power,0.185,,0.4087624750499002
cDM,0,5,static,power,0.1,,0.4779241516966068
cDM,1,1,static,power,0.18,,0.4028942115768463
cDM,1,2,static,power,0.24,,0.36713572854291415
cDM,1,3,static,power,0.185,,0.4064770459081836
cDM,1,4,static,power,0.125,,0.46423153692614766
cDM,2,1,static,power,0.155,,0.4086227544910179
cDM,2,2,static,power,0.16,,0.39850299401197603
cDM,2,3,static,power,0.105,,0.46731536926147704
cDM,3,1,static,power,0.165,,0.417065868263473
cDM,3,2,static,power,0.145,,0.45858283433133734
cDM,4,1,static,power,0.1,,0.4619461077844311
