rep,method,rmse,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
0,RV,0.8985191264401682,30.78928254119101,0.001996007984031936,1,static,power,500,0.1
0,Oracle,,24.87670025524695,0.001996007984031936,1,static,power,500,0.1
0,DM,,0.14602246386994372,0.24750499001996007,0,static,power,500,0.1
0,cDM,,-0.07026916388601506,0.8642714570858283,0,static,power,500,0.1
0,SS,0.8809465142164677,0.25864462387409726,0.1536926147704591,0,static,power,500,0.1
1,RV,1.01887272629118,23.41947130026164,0.023952095808383235,1,static,power,500,0.1
1,Oracle,,33.183636509007684,0.001996007984031936,1,static,power,500,0.1
1,DM,,-0.12402067591047967,0.6986027944111777,0,static,power,500,0.1
1,cDM,,0.16849554407328254,0.001996007984031936,1,static,power,500,0.1
1,SS,0.866879903208338,9.500197979470508,0.05788423153692615,1,static,power,500,0.1
2,RV,0.8361634465845564,6.269539549491627,0.7225548902195609,0,static,power,500,0.1
2,Oracle,,13.29974137334147,0.003992015968063872,1,static,power,500,0.1
2,DM,,-0.09269036884442024,0.6606786427145709,0,static,power,500,0.1
2,cDM,,0.004156521562745448,0.45109780439121755,0,static,power,500,0.1
2,SS,1.0095319191616483,-0.8031846946943307,0.8023952095808383,0,static,power,500,0.1
3,RV,1.0092505991938279,6.592738908207805,0.10978043912175649,0,static,power,500,0.1
3,Oracle,,17.99394998213455,0.001996007984031936,1,static,power,500,0.1
3,DM,,0.10355211232989224,0.29740518962075846,0,static,power,500,0.1
3,cDM,,0.04404713405784851,0.21956087824351297,0,static,power,500,0.1
3,SS,0.8945282325478046,4.41093400502714,0.4550898203592814,0,static,power,500,0.1
4,RV,0.7384302737289299,28.638438204835502,0.001996007984031936,1,static,power,500,0.1
4,Oracle,,23.636765461920753,0.001996007984031936,1,static,power,500,0.1
4,DM,,0.35862618958753245,0.04590818363273453,1,static,power,500,0.1
4,cDM,,0.07032249675192208,0.10978043912175649,0,static,power,500,0.1
4,SS,1.1753423339270426,-6.070314265671081,0.9740518962075848,0,static,power,500,0.1
5,RV,0.8274635220463992,0.3436814213585098,0.6107784431137725,0,static,power,500,0.1
5,Oracle,,27.839374411333484,0.001996007984031936,1,static,power,500,0.1
5,DM,,-0.04017273428377972,0.5688622754491018,0,static,power,500,0.1
5,cDM,,0.04294965828283837,0.2315369261477046,0,static,power,500,0.1
5,SS,0.925220354582911,6.204946720724653,0.0658682634730539,1,static,power,500,0.1
6,RV,0.8853574319197923,40.729881472601605,0.001996007984031936,1,static,power,500,0.1
6,Oracle,,23.37316544796504,0.001996007984031936,1,static,power,500,0.1
6,DM,,-0.393020132359532,0.9540918163672655,0,static,power,500,0.1
6,cDM,,-0.006020218078626527,0.5209580838323353,0,static,power,500,0.1
6,SS,0.7347089254259097,10.858165524655572,0.003992015968063872,1,static,power,500,0.1
7,RV,0.6955068472991717,23.91197457442714,0.001996007984031936,1,static,power,500,0.1
7,Oracle,,29.920111166523974,0.001996007984031936,1,static,power,500,0.1
7,DM,,0.23280830882800488,0.12974051896207583,0,static,power,500,0.1
7,cDM,,0.05898021810976571,0.17564870259481039,0,static,power,500,0.1
7,SS,0.7969897996907976,21.30740163171556,0.00998003992015968,1,static,power,500,0.1
8,RV,0.9833862944239856,28.70048110261245,0.003992015968063872,1,static,power,500,0.1
8,Oracle,,23.17024028776884,0.003992015968063872,1,static,power,500,0.1
8,DM,,-0.06317756202736655,0.626746506986028,0,static,power,500,0.1
8,cDM,,-0.044589349747195355,0.7644710578842315,0,static,power,500,0.1
8,SS,1.236458145425015,-6.986467757835723,0.9520958083832335,0,static,power,500,0.1
9,RV,0.9694454894020504,10.668578625073627,0.029940119760479042,1,static,power,500,0.1
9,Oracle,,27.95894309044054,0.001996007984031936,1,static,power,500,0.1
9,DM,,0.36698776043022213,0.06187624750499002,1,static,power,500,0.1
9,cDM,,0.0659533498989968,0.13572854291417166,0,static,power,500,0.1
9,SS,0.9614643989365173,18.562911123001086,0.003992015968063872,1,static,power,500,0.1
10,RV,0.8782492743128059,28.0388131922843,0.017964071856287425,1,static,power,500,0.1
10,Oracle,,31.94381579582751,0.001996007984031936,1,static,power,500,0.1
10,DM,,0.10075188360328707,0.34530938123752497,0,static,power,500,0.1
10,cDM,,-0.01780154002766687,0.6287425149700598,0,static,power,500,0.1
10,SS,1.6832794112504341,3.083067083358951,0.7145708582834331,0,static,power,500,0.1
11,RV,0.8321504157982561,17.982522988312443,0.043912175648702596,1,static,power,500,0.1
