method,l,assumption,setting,reject_rate,rmse,mean_p
DM,0,static,power,0.21,,0.4087906431425495
DM,1,static,power,0.215,,0.43589962137568095
DM,2,static,power,0.185,,0.46354900720314063
DM,3,static,power,0.17,,0.4542954582576955
DM,4,static,power,0.135,,0.4692914171656687
Oracle,0,static,power,1.0,,2.770560163613882e-08
Oracle,1,static,power,1.0,,6.401354023797014e-07
Oracle,2,static,power,1.0,,2.6496754155182176e-05
Oracle,3,static,power,1.0,,0.001134690898519431
Oracle,4,static,power,0.93,,0.029351297405189616
RV,0,static,power,0.935,0.9104511414398445,0.033271855372461315
RV,1,static,power,0.93,0.9045773838146536,0.03785766890247875
RV,2,static,power,0.845,0.9001233179820711,0.05990531823187314
RV,3,static,power,0.76,0.87738388041574,0.09969970068113045
RV,4,static,power,0.525,0.8073844042421991,0.1850499001996008
SS,0,static,power,0.64,0.6723103793244302,0.30462224508511004
SS,1,static,power,0.635,0.7353699034517368,0.3072895801008292
SS,2,static,power,0.55,0.8369527083422048,0.3201333894485285
SS,3,static,power,0.43,1.0108318982982396,0.3445412862176329
SS,4,static,power,0.175,1.4935300438294632,0.4322355289421158
cDM,0,static,power,0.28,,0.31091576839522633
cDM,1,static,power,0.265,,0.34959985171460883
cDM,2,static,power,0.215,,0.39778153664707516
cDM,3,static,power,0.185,,0.4262171745992734
cDM,4,static,power,0.1,,0.4619461077844311
