method,k,assumption,setting,reject_rate,rmse,mean_p
DM,1,static,power,0.085,,0.536437125748503
DM,2,static,power,0.095,,0.4746606786427146
DM,3,static,power,0.125,,0.4745309381237525
DM,4,static,power,0.105,,0.4653992015968064
DM,5,static,power,0.15,,0.40780439121756484
Oracle,1,static,power,0.5,,0.15741516966067864
Oracle,2,static,power,0.655,,0.09331337325349301
Oracle,3,static,power,0.83,,0.05913173652694611
Oracle,4,static,power,0.895,,0.03577844311377246
Oracle,5,static,power,0.9,,0.02977045908183633
RV,1,static,power,0.215,0.7516687465606363,0.3808083832335329
RV,2,static,power,0.34,0.7928696652376757,0.2653493013972056
RV,3,static,power,0.375,0.8634345510374479,0.2374550898203593
RV,4,static,power,0.515,0.9214338586372408,0.19644710578842314
RV,5,static,power,0.545,1.058772968599781,0.17856287425149703
SS,1,static,power,0.195,0.9267581324243751,0.4375548902195609
SS,2,static,power,0.215,0.9022793930340915,0.401936127744511
SS,3,static,power,0.17,0.9500420310240191,0.4483532934131736
SS,4,static,power,0.255,1.0234487149546196,0.4263073852295409
SS,5,static,power,0.325,1.1596869892776898,0.4056187624750499
cDM,1,static,power,0.08,,0.5750798403193612
cDM,2,static,power,0.075,,0.5000399201596807
cDM,3,static,power,0.125,,0.4547804391217565
cDM,4,static,power,0.27,,0.4016067864271457
cDM,5,static,power,0.32,,0.2731936127744511
