setting,assumption,method,stage,target,time,time_s,time_t,rmse,relative_rmse,bias,mae,corr,mean_est,mean_true,sd_est,sd_true
power,static,RV,moment,diagonal_all,,,,0.05282679881993066,0.444498030755435,-0.05206874183637793,0.05206874183637793,0.7279860993617294,0.06624232712761632,0.11831106896399428,0.012433846874582197,0.011262997541133852
power,static,RV,moment,diagonal_t1,1.0,,,0.05014867803783303,0.4754262091248533,-0.04969761341020563,0.04969761341020563,-0.21425867207741997,0.05577078906188464,0.10546840247209027,0.005786245358825235,0.0016633195330273643
power,static,RV,moment,diagonal_t2,2.0,,,0.05313462902772259,0.42578291913266264,-0.05273157460175,0.05273157460175,0.39241930394418,0.07200082760819627,0.12473240220994626,0.0064316538919674425,0.003881078910397184
power,static,RV,moment,diagonal_t3,3.0,,,0.052979487170137146,0.4036990847256064,-0.05247570536522973,0.05247570536522973,0.41887544859865644,0.07867803009066854,0.13115373545589823,0.007314611530789671,0.004620332036187123
power,static,RV,moment,diagonal_t4,4.0,,,0.05551880881042861,0.44488803092497425,-0.054850715816014486,0.054850715816014486,-0.06824163226388454,0.06988168639393177,0.12473240220994626,0.007068008565003968,0.0038810789103971843
power,static,RV,moment,diagonal_t5,5.0,,,0.0514701102245565,0.48795382739378446,-0.05058809998868982,0.05058809998868982,-0.5502933394804895,0.05488030248340044,0.10546840247209024,0.008083501454811777,0.001663319533027366
power,static,RV,mu,all_periods,,,,0.5716946167779435,0.08558642533400883,-0.0014978145502766217,0.14320352430321168,0.9872450218768516,5.631376347648342,5.632874162198619,3.544666659010642,3.5902067613069644
power,static,RV,mu,period_1,1.0,,,0.4939589916269703,0.074272732712381,-0.0013596995282506947,0.14805397519118654,0.990242086026477,5.627812300520823,5.629172000049072,3.505358276451551,3.5416152027599055
power,static,RV,mu,period_2,2.0,,,0.18241383023022364,0.03196538542337561,0.0007139812283760482,0.10692917376989264,0.9873006459106658,5.592353844460016,5.59163986323164,1.1342560048426227,1.139695117500541
power,static,RV,mu,period_3,3.0,,,0.17305604917462997,0.030707357974183048,-0.0019667944645001003,0.10478727272926737,0.9734330109472508,5.583819568222805,5.585786362687305,0.7436761602166538,0.7480563649215106
power,static,RV,mu,period_4,4.0,,,0.5075972612631117,0.07784667904293666,-0.0017637274656049121,0.15189010242827466,0.9880956124196593,5.62392833108718,5.625692058552786,3.256111476163804,3.2966911424964764
power,static,RV,mu,period_5,5.0,,,1.0340263718777072,0.12184328946401932,-0.0031128325214034493,0.20435709739743718,0.9862594879504794,5.728967693950887,5.7320805264722905,6.1708264735108,6.258146227572377
