setting,assumption,source_t,method,lag,tau_rmse,tau_bias,mean_tau_hat,mean_tau_true,mean_abs_tau_hat,mean_abs_tau_true,tau_hat_sd,tau_true_sd,sign_alignment,cosine_alignment
power,static,1,RV,,0.5281937053631733,0.38455680637562106,-0.015443193624378994,-0.4,0.3443807397942745,0.4,0.3570443339014595,0.023093963471002548,0.5064,0.040769508959140506
power,static,2,RV,,0.5555621760889067,0.38581058638106824,-0.01418941361893177,-0.4,0.3357487051335584,0.4,0.3875117839884707,0.023093963471002548,0.40562,0.03127746530199528
power,static,3,RV,,0.5503270650914328,0.38351925898215167,-0.016480741017848376,-0.4,0.37364619271513283,0.4,0.3903925030926115,0.023093963471002548,0.50454,0.039962855340167296
power,static,4,RV,,0.5129076257448212,0.3861009208418188,-0.013899079158181234,-0.4,0.2685902999142818,0.4,0.32407775755941304,0.023093963471002548,0.37683999999999995,0.037964231638612934
power,static,5,RV,,0.5403666646864455,0.3861418958660896,-0.013858104133910427,-0.4,0.34976104206761044,0.4,0.3732073147292903,0.023093963471002548,0.48696,0.03542016875505301
