rep,method,rmse,t,l,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
0,RC,0.6823630362561551,1,0,8.133339239390494,0.005988023952095809,1,lagged,power,500,0.1
0,Oracle,,1,0,19.319733436438586,0.001996007984031936,1,lagged,power,500,0.1
0,DM,,1,0,-0.07637525003269907,0.6427145708582834,0,lagged,power,500,0.1
0,cDM,,1,0,0.032370771554667895,0.4031936127744511,0,lagged,power,500,0.1
0,SS,0.45002410665972514,1,0,4.723503985459984,0.06187624750499002,1,lagged,power,500,0.1
0,RC,0.7036386477198632,2,0,20.557900144030498,0.001996007984031936,1,lagged,power,500,0.1
0,Oracle,,2,0,17.053967912715194,0.001996007984031936,1,lagged,power,500,0.1
0,DM,,2,0,0.16825105491608489,0.22355289421157684,0,lagged,power,500,0.1
0,cDM,,2,0,0.02617269159899848,0.35728542914171657,0,lagged,power,500,0.1
0,SS,0.44737703178169774,2,0,-3.1685128836157164,0.29740518962075846,0,lagged,power,500,0.1
0,RC,0.7911088834581999,3,0,1.0640942370285495,0.06387225548902195,1,lagged,power,500,0.1
0,Oracle,,3,0,36.63357534021076,0.001996007984031936,1,lagged,power,500,0.1
0,DM,,3,0,0.230722766288748,0.20758483033932135,0,lagged,power,500,0.1
0,cDM,,3,0,-0.04293772112683755,0.6646706586826348,0,lagged,power,500,0.1
0,SS,0.45411464449619293,3,0,6.891975883864159,0.05389221556886228,1,lagged,power,500,0.1
0,RC,0.8059399077003621,4,0,33.98290075563711,0.023952095808383235,1,lagged,power,500,0.1
0,Oracle,,4,0,39.17620903394932,0.001996007984031936,1,lagged,power,500,0.1
0,DM,,4,0,-0.07342733302751647,0.5728542914171657,0,lagged,power,500,0.1
0,cDM,,4,0,0.13431628213054525,0.11377245508982035,0,lagged,power,500,0.1
0,SS,0.45550581955476543,4,0,23.647001022546533,0.003992015968063872,1,lagged,power,500,0.1
0,RC,0.8708927643539605,5,0,31.66319882122714,0.001996007984031936,1,lagged,power,500,0.1
0,Oracle,,5,0,38.89498377674484,0.001996007984031936,1,lagged,power,500,0.1
0,DM,,5,0,0.638385300419138,0.08183632734530938,1,lagged,power,500,0.1
0,cDM,,5,0,-0.16833212163917183,0.9001996007984032,0,lagged,power,500,0.1
0,SS,0.430359671418014,5,0,11.3505704473993,0.12974051896207583,0,lagged,power,500,0.1
0,RC,0.7073827731191744,1,1,15.128057296111983,0.003992015968063872,1,lagged,power,500,0.1
0,Oracle,,1,1,12.349279360185928,0.001996007984031936,1,lagged,power,500,0.1
0,DM,,1,1,0.14707839015978932,0.32335329341317365,0,lagged,power,500,0.1
0,cDM,,1,1,0.19655315967121634,0.0499001996007984,1,lagged,power,500,0.1
0,SS,0.49239318881010996,1,1,1.3819405592644778,0.06187624750499002,1,lagged,power,500,0.1
0,RC,0.6038190711009849,2,1,25.10406446502323,0.013972055888223553,1,lagged,power,500,0.1
0,Oracle,,2,1,21.745539178993134,0.001996007984031936,1,lagged,power,500,0.1
0,DM,,2,1,0.27092598257346573,0.15169660678642716,0,lagged,power,500,0.1
0,cDM,,2,1,0.06581309196299892,0.2694610778443114,0,lagged,power,500,0.1
0,SS,0.5071803105625113,2,1,-0.4583382987396496,0.08183632734530938,1,lagged,power,500,0.1
0,RC,0.7938668507464792,3,1,-0.7949592037250834,0.469061876247505,0,lagged,power,500,0.1
0,Oracle,,3,1,39.24653633158728,0.001996007984031936,1,lagged,power,500,0.1
0,DM,,3,1,0.17929160539816455,0.2714570858283433,0,lagged,power,500,0.1
0,cDM,,3,1,0.04018167346198282,0.3393213572854291,0,lagged,power,500,0.1
0,SS,0.5044238679681415,3,1,11.11784831546937,0.041916167664670656,1,lagged,power,500,0.1
0,RC,0.515090045304977,4,1,32.49645540823255,0.001996007984031936,1,lagged,power,500,0.1
0,Oracle,,4,1,37.391185310235784,0.001996007984031936,1,lagged,power,500,0.1
0,DM,,4,1,0.19655131253374916,0.3413173652694611,0,lagged,power,500,0.1
0,cDM,,4,1,-0.12370462828524745,0.8183632734530938,0,lagged,power,500,0.1
0,SS,0.442245520252937,4,1,15.782414013657224,0.21756487025948104,0,lagged,power,500,0.1
0,RC,0.6860471912828554,1,2,25.6396408404393,0.00998003992015968,1,lagged,power,500,0.1
0,Oracle,,1,2,17.27144520434619,0.001996007984031936,1,lagged,power,500,0.1
0,DM,,1,2,0.1773548800641206,0.3273453093812375,0,lagged,power,500,0.1
0,cDM,,1,2,0.20590325480628283,0.06187624750499002,1,lagged,power,500,0.1
0,SS,0.6799747626689077,1,2,-0.8653685365070075,0.08183632734530938,1,lagged,power,500,0.1
0,RC,0.6300650825307333,2,2,12.169348239238664,0.34930139720558884,0,lagged,power,500,0.1
0,Oracle,,2,2,11.365527951591572,0.005988023952095809,1,lagged,power,500,0.1
0,DM,,2,2,0.09038167072437109,0.3592814371257485,0,lagged,power,500,0.1
0,cDM,,2,2,-0.01512625956473495,0.5568862275449101,0,lagged,power,500,0.1
0,SS,0.6594494667197055,2,2,0.8996302023044329,0.1437125748502994,0,lagged,power,500,0.1
0,RC,0.7227566746322763,3,2,14.894363784980552,0.043912175648702596,1,lagged,power,500,0.1
0,Oracle,,3,2,21.768425370271668,0.015968063872255488,1,lagged,power,500,0.1
0,DM,,3,2,0.6799572980422448,0.04790419161676647,1,lagged,power,500,0.1
0,cDM,,3,2,-0.046662450480453824,0.6487025948103793,0,lagged,power,500,0.1
0,SS,0.6485338261465408,3,2,0.5796632133460657,0.37524950099800397,0,lagged,power,500,0.1
0,RC,0.5545323638145667,1,3,6.542401514086535,0.23952095808383234,0,lagged,power,500,0.1
0,Oracle,,1,3,6.63031005223408,0.011976047904191617,1,lagged,power,500,0.1
0,DM,,1,3,0.038464029017469537,0.47904191616766467,0,lagged,power,500,0.1
0,cDM,,1,3,0.24970148501798728,0.03592814371257485,1,lagged,power,500,0.1
0,SS,0.7688146913292443,1,3,-5.386886214952955,0.4311377245508982,0,lagged,power,500,0.1
0,RC,0.15746831594022767,2,3,11.090065096767253,0.011976047904191617,1,lagged,power,500,0.1
0,Oracle,,2,3,8.748578642135653,0.005988023952095809,1,lagged,power,500,0.1
0,DM,,2,3,0.48238298883602637,0.09181636726546906,1,lagged,power,500,0.1
0,cDM,,2,3,-0.11999936736168362,0.8163672654690619,0,lagged,power,500,0.1
0,SS,0.7101100273922527,2,3,-3.1763157038802734,0.8063872255489022,0,lagged,power,500,0.1
0,RC,0.28784428861638894,1,4,11.158592676338353,0.007984031936127744,1,lagged,power,500,0.1
0,Oracle,,1,4,6.836911656800102,0.005988023952095809,1,lagged,power,500,0.1
0,DM,,1,4,0.35976140260629896,0.2275449101796407,0,lagged,power,500,0.1
0,cDM,,1,4,-0.026555907455505304,0.5988023952095808,0,lagged,power,500,0.1
0,SS,1.2241815246494578,1,4,-7.447830369505119,0.22554890219560877,0,lagged,power,500,0.1
1,RC,0.9116653452658438,1,0,12.864930042480736,0.003992015968063872,1,lagged,power,500,0.1
1,Oracle,,1,0,18.15086157927546,0.001996007984031936,1,lagged,power,500,0.1
1,DM,,1,0,-0.27565359969499,0.8243512974051896,0,lagged,power,500,0.1
1,cDM,,1,0,-0.12511968803278667,0.8642714570858283,0,lagged,power,500,0.1
1,SS,0.4778423320166636,1,0,10.093341323626547,0.005988023952095809,1,lagged,power,500,0.1
1,RC,0.9443628822493888,2,0,-7.326276464610803,0.26746506986027946,0,lagged,power,500,0.1
1,Oracle,,2,0,21.023066703441195,0.001996007984031936,1,lagged,power,500,0.1
1,DM,,2,0,-0.5196306997236058,0.9940119760479041,0,lagged,power,500,0.1
1,cDM,,2,0,0.07058313460944063,0.23952095808383234,0,lagged,power,500,0.1
1,SS,0.47939308735306296,2,0,-0.7314890307649229,0.08582834331337326,1,lagged,power,500,0.1
1,RC,0.9872089864753867,3,0,-9.681918117470227,0.6586826347305389,0,lagged,power,500,0.1
1,Oracle,,3,0,43.07048164765076,0.001996007984031936,1,lagged,power,500,0.1
1,DM,,3,0,-0.1410496968021283,0.7045908183632734,0,lagged,power,500,0.1
1,cDM,,3,0,0.12056140740009769,0.10978043912175649,0,lagged,power,500,0.1
1,SS,0.48724680613684385,3,0,11.168460006084835,0.011976047904191617,1,lagged,power,500,0.1
1,RC,0.8978445980549931,4,0,4.418135637595999,0.23552894211576847,0,lagged,power,500,0.1
1,Oracle,,4,0,47.18931543376607,0.001996007984031936,1,lagged,power,500,0.1
1,DM,,4,0,0.20036794355951207,0.2874251497005988,0,lagged,power,500,0.1
