rep,method,rmse,l,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
0,RC,0.7707886478977082,0,19.08028663946276,0.001996007984031936,1,lagged,power,500,0.1
0,Oracle,,0,30.21569390001174,0.001996007984031936,1,lagged,power,500,0.1
0,DM,,0,0.1775113077127511,0.08782435129740519,1,lagged,power,500,0.1
0,cDM,,0,-0.003682019496359551,0.5149700598802395,0,lagged,power,500,0.1
0,SS,0.4474762547820791,0,8.688907691130852,0.001996007984031936,1,lagged,power,500,0.1
0,RC,0.6550396850679038,1,17.98340449141067,0.001996007984031936,1,lagged,power,500,0.1
0,Oracle,,1,27.68313504525053,0.001996007984031936,1,lagged,power,500,0.1
0,DM,,1,0.1984618226662922,0.11776447105788423,0,lagged,power,500,0.1
0,cDM,,1,0.04471082420273765,0.21756487025948104,0,lagged,power,500,0.1
0,SS,0.4865607218984249,1,6.955966147412855,0.003992015968063872,1,lagged,power,500,0.1
0,RC,0.6796229828152883,2,17.567784288219503,0.007984031936127744,1,lagged,power,500,0.1
0,Oracle,,2,16.801799508736476,0.001996007984031936,1,lagged,power,500,0.1
0,DM,,2,0.3158979496102455,0.0718562874251497,1,lagged,power,500,0.1
0,cDM,,2,0.048038181587031346,0.26746506986027946,0,lagged,power,500,0.1
0,SS,0.6626526851783846,2,0.2046416263811637,0.027944111776447105,1,lagged,power,500,0.1
0,RC,0.3560003398773972,3,8.816233305426895,0.08183632734530938,1,lagged,power,500,0.1
0,Oracle,,3,7.689444347184867,0.001996007984031936,1,lagged,power,500,0.1
0,DM,,3,0.2604235089267479,0.16766467065868262,0,lagged,power,500,0.1
0,cDM,,3,0.06485105882815183,0.2754491017964072,0,lagged,power,500,0.1
0,SS,0.7394623593607486,3,-4.281600959416614,0.6187624750499002,0,lagged,power,500,0.1
0,RC,0.28784428861638894,4,11.158592676338353,0.007984031936127744,1,lagged,power,500,0.1
0,Oracle,,4,6.836911656800102,0.005988023952095809,1,lagged,power,500,0.1
0,DM,,4,0.35976140260629896,0.2275449101796407,0,lagged,power,500,0.1
0,cDM,,4,-0.026555907455505304,0.5988023952095808,0,lagged,power,500,0.1
0,SS,1.2241815246494578,4,-7.447830369505119,0.22554890219560877,0,lagged,power,500,0.1
1,RC,0.8972221646598083,0,2.589302103935428,0.017964071856287425,1,lagged,power,500,0.1
1,Oracle,,0,32.148718951192095,0.001996007984031936,1,lagged,power,500,0.1
1,DM,,0,-0.11916986253280637,0.844311377245509,0,lagged,power,500,0.1
1,cDM,,0,0.009862435299141237,0.4151696606786427,0,lagged,power,500,0.1
1,SS,0.47654404655258276,0,8.585099920652024,0.001996007984031936,1,lagged,power,500,0.1
1,RC,0.9826114938370856,1,9.854465313488884,0.003992015968063872,1,lagged,power,500,0.1
1,Oracle,,1,32.05862070073472,0.001996007984031936,1,lagged,power,500,0.1
1,DM,,1,-0.24223449002910633,0.9021956087824351,0,lagged,power,500,0.1
1,cDM,,1,0.03242870862072704,0.27944111776447106,0,lagged,power,500,0.1
1,SS,0.5746351548433535,1,11.167466484142802,0.001996007984031936,1,lagged,power,500,0.1
1,RC,0.6491701272963741,2,13.069663064765166,0.01996007984031936,1,lagged,power,500,0.1
1,Oracle,,2,17.9124770955851,0.001996007984031936,1,lagged,power,500,0.1
1,DM,,2,-0.44751821814647846,0.9860279441117764,0,lagged,power,500,0.1
1,cDM,,2,-0.004027304264508831,0.5329341317365269,0,lagged,power,500,0.1
1,SS,0.6695847251039447,2,5.118681592985062,0.023952095808383235,1,lagged,power,500,0.1
1,RC,0.6042968179527918,3,11.552816922862648,0.0658682634730539,1,lagged,power,500,0.1
1,Oracle,,3,10.316398470493363,0.001996007984031936,1,lagged,power,500,0.1
1,DM,,3,-0.5040178424483669,0.9580838323353293,0,lagged,power,500,0.1
1,cDM,,3,0.03968510871081772,0.31137724550898205,0,lagged,power,500,0.1
1,SS,0.7959758021724268,3,0.3454280997344308,0.8642714570858283,0,lagged,power,500,0.1
1,RC,0.5971775674137936,4,19.95929553842227,0.08383233532934131,1,lagged,power,500,0.1
1,Oracle,,4,10.403579847002739,0.05788423153692615,1,lagged,power,500,0.1
1,DM,,4,-0.6279949294189072,0.872255489021956,0,lagged,power,500,0.1
1,cDM,,4,-0.3376263466540823,0.9780439121756487,0,lagged,power,500,0.1
1,SS,1.6571553215856059,4,-14.49615018363167,0.29740518962075846,0,lagged,power,500,0.1
