method,k,assumption,setting,reject_rate,rmse,mean_p
DM,1,lagged,power,0.095,,0.526746506986028
DM,2,lagged,power,0.1,,0.48204590818363274
DM,3,lagged,power,0.13,,0.48221556886227546
DM,4,lagged,power,0.15,,0.45796407185628746
DM,5,lagged,power,0.15,,0.4248403193612774
Oracle,1,lagged,power,0.61,,0.12837325349301396
Oracle,2,lagged,power,0.835,,0.05952095808383233
Oracle,3,lagged,power,0.9,,0.032874251497005985
Oracle,4,lagged,power,0.975,,0.016207584830339322
Oracle,5,lagged,power,0.99,,0.010029940119760479
RC,1,lagged,power,0.2,0.5075486266375159,0.38268463073852294
RC,2,lagged,power,0.28,0.5627547245299432,0.3387325349301397
RC,3,lagged,power,0.43,0.6516009413324073,0.24600798403193613
RC,4,lagged,power,0.455,0.7629177287615176,0.23718562874251498
RC,5,lagged,power,0.405,0.922715142411331,0.25034930139720557
SS,1,lagged,power,0.145,0.9026805027797739,0.48697604790419163
SS,2,lagged,power,0.23,0.8466866022858279,0.4222754491017964
SS,3,lagged,power,0.195,0.8741254595263602,0.45532934131736524
SS,4,lagged,power,0.27,0.9386362639399677,0.41063872255489026
SS,5,lagged,power,0.275,1.0670584703652775,0.3921457085828343
cDM,1,lagged,power,0.08,,0.5817764471057884
cDM,2,lagged,power,0.11,,0.5247405189620759
cDM,3,lagged,power,0.185,,0.44311377245508976
cDM,4,lagged,power,0.295,,0.35423153692614767
cDM,5,lagged,power,0.305,,0.28868263473053896
