method,l,t,assumption,setting,reject_rate,rmse,mean_p
DM,0,1,lagged,power,0.15,,0.44642714570858283
DM,0,2,lagged,power,0.15,,0.4429940119760479
DM,0,3,lagged,power,0.135,,0.4779141716566866
DM,0,4,lagged,power,0.135,,0.45662674650698604
DM,0,5,lagged,power,0.11,,0.47169660678642716
DM,1,1,lagged,power,0.17,,0.4480738522954092
DM,1,2,lagged,power,0.145,,0.4504890219560878
DM,1,3,lagged,power,0.11,,0.48372255489021954
DM,1,4,lagged,power,0.14,,0.46704590818363273
DM,2,1,lagged,power,0.13,,0.4600199600798403
DM,2,2,lagged,power,0.125,,0.47124750499002
DM,2,3,lagged,power,0.105,,0.49084830339321356
DM,3,1,lagged,power,0.165,,0.46454091816367266
DM,3,2,lagged,power,0.145,,0.4696606786427146
DM,4,1,lagged,power,0.14,,0.47153692614770454
Oracle,0,1,lagged,power,1.0,,0.00469061876247505
Oracle,0,2,lagged,power,1.0,,0.002275449101796407
Oracle,0,3,lagged,power,1.0,,0.002255489021956088
Oracle,0,4,lagged,power,1.0,,0.0027245508982035927
Oracle,0,5,lagged,power,0.98,,0.01625748502994012
Oracle,1,1,lagged,power,0.995,,0.00562874251497006
Oracle,1,2,lagged,power,1.0,,0.0024051896207584827
Oracle,1,3,lagged,power,1.0,,0.0034231536926147706
Oracle,1,4,lagged,power,0.965,,0.023692614770459083
Oracle,2,1,lagged,power,0.985,,0.010558882235528942
Oracle,2,2,lagged,power,1.0,,0.003982035928143712
Oracle,2,3,lagged,power,0.93,,0.027854291417165666
Oracle,3,1,lagged,power,0.955,,0.019520958083832335
Oracle,3,2,lagged,power,0.91,,0.03251497005988024
Oracle,4,1,lagged,power,0.795,,0.07343313373253493
RC,0,1,lagged,power,0.705,0.7491858055654468,0.15863273453093812
RC,0,2,lagged,power,0.61,0.7615355439788035,0.20477045908183633
RC,0,3,lagged,power,0.42,0.7575653496409731,0.29131736526946106
RC,0,4,lagged,power,0.45,0.7480529504509719,0.24051896207584827
RC,0,5,lagged,power,0.34,0.7528168821233234,0.2708183632734531
RC,1,1,lagged,power,0.72,0.7243487768302185,0.13865269461077845
RC,1,2,lagged,power,0.48,0.7395677563672425,0.21661676646706587
RC,1,3,lagged,power,0.315,0.7444590414626094,0.3138323353293413
RC,1,4,lagged,power,0.47,0.6735863081593042,0.24976047904191617
RC,2,1,lagged,power,0.495,0.7097790476112964,0.19939121756487027
RC,2,2,lagged,power,0.315,0.7719964099357911,0.31234530938123756
RC,2,3,lagged,power,0.36,0.7449157349406619,0.3206487025948104
RC,3,1,lagged,power,0.43,0.6419254658840177,0.23343313373253494
RC,3,2,lagged,power,0.41,0.663896203976495,0.2878942115768463
RC,4,1,lagged,power,0.345,0.5544420741843861,0.2934431137724551
SS,0,1,lagged,power,0.445,0.683531318650152,0.35357285429141716
SS,0,2,lagged,power,0.58,0.6834654655707443,0.3339021956087824
SS,0,3,lagged,power,0.57,0.6842576784065225,0.3586427145708583
SS,0,4,lagged,power,0.505,0.6751940162280899,0.35708582834331337
SS,0,5,lagged,power,0.355,0.6763686084019167,0.3861277445109781
SS,1,1,lagged,power,0.43,0.6972453988839213,0.34358283433133735
SS,1,2,lagged,power,0.51,0.6875926774918704,0.35134730538922154
SS,1,3,lagged,power,0.45,0.6998408544282363,0.3527345309381238
SS,1,4,lagged,power,0.32,0.6822404237107845,0.39033932135728544
SS,2,1,lagged,power,0.35,0.740146842358489,0.38083832335329343
SS,2,2,lagged,power,0.39,0.7411691712367123,0.3665868263473054
SS,2,3,lagged,power,0.27,0.7530678811556187,0.4026347305389221
SS,3,1,lagged,power,0.17,0.891743208373804,0.45650698602794415
SS,3,2,lagged,power,0.21,0.8912386114373837,0.40291417165668664
SS,4,1,lagged,power,0.13,1.3883520068129886,0.46399201596806383
cDM,0,1,lagged,power,0.21,,0.4436027944111776
cDM,0,2,lagged,power,0.195,,0.3893512974051896
cDM,0,3,lagged,power,0.205,,0.3880738522954092
cDM,0,4,lagged,power,0.155,,0.4219261477045908
cDM,0,5,lagged,power,0.165,,0.4310878243512974
cDM,1,1,lagged,power,0.19,,0.416187624750499
cDM,1,2,lagged,power,0.2,,0.3846606786427146
cDM,1,3,lagged,power,0.165,,0.41675648702594814
cDM,1,4,lagged,power,0.165,,0.4318263473053892
cDM,2,1,lagged,power,0.145,,0.43961077844311375
cDM,2,2,lagged,power,0.18,,0.44492015968063875
cDM,2,3,lagged,power,0.15,,0.44507984031936126
cDM,3,1,lagged,power,0.1,,0.450189620758483
cDM,3,2,lagged,power,0.18,,0.43706586826347305
cDM,4,1,lagged,power,0.14,,0.4612075848303393
