N,assumption,option,experiment,dgp_name,rmse,nmse,mse,variance
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.31462117529222233,0.01887300592036134,0.0989864839422593,5.244871132873788
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.637704925762205,0.07771558993228278,0.4066675723413795,5.232766973727252
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.7986876334806718,0.12096112307355435,0.6379019358749559,5.273611220417149
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.3290499344829842,0.02043285749421971,0.10827385938325619,5.299007219811815
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,1.0592756058033856,0.21270298097112172,1.1220648090501297,5.2752660255498265
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.7411472935855131,0.10381168437242198,0.5492993107891309,5.291305252485187
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.3753681725786164,0.026679587186064762,0.14090126498500993,5.28123857398383
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.5276054881362358,0.05266580295807801,0.27836755111147565,5.285546511710004
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.6321098818223767,0.07559946792366186,0.399562902697499,5.285260778567463
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,1.397545418388791,0.3740954933077625,1.953133196459501,5.220948210816025
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.4418621404816721,0.03742076206295174,0.19524215119104493,5.217481965294971
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.271040993150506,0.013952130236546794,0.07346321996801264,5.265376592857484
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.9329142898727947,0.16541880565744657,0.8703290722488607,5.261367163121466
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.5925352460038857,0.0668419654843305,0.35109801775688537,5.252658493999431
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.30737463145024124,0.017895708626083424,0.09447916405917162,5.279431288988801
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.3101224553618151,0.018295491377998404,0.096175937319641,5.256810835663
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,1.0289286019309904,0.20153138430176293,1.0586940678716628,5.253246642152905
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.9503201207436638,0.17215907340843223,0.9031083318902516,5.245778302649821
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.7118937452312528,0.09600283308070628,0.5067927044993799,5.278934883862611
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,1.2386198370494237,0.29157565099146776,1.534179100732341,5.261684559446409
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.40907031366154195,0.03178790093194045,0.1673385215191523,5.264220556035857
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.27426723644615364,0.014237827729480216,0.07522251698781034,5.2832860754494115
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.24690061615771286,0.01154880902628125,0.060959914259058265,5.278458940686764
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.7114886534574231,0.09585115596337508,0.506216103998657,5.281272812109676
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.39277024449413306,0.02926918530315252,0.15426846495998106,5.270678475063846
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.5604574350947548,0.0596738482832672,0.31411253655299126,5.263822354173021
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.2887230854923612,0.015911053655434812,0.08336102009622931,5.2391891763720695
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.8190744629584741,0.12723477250773693,0.6708829758707128,5.272795813973869
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.27876488072385924,0.014742847087835251,0.07770985872498747,5.2710211441525505
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.606146013467122,0.07000798293700261,0.36741298964208446,5.248158484621743
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.5464332186458486,0.05658818576153989,0.2985892624396618,5.276530046358151
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.7047084746554334,0.09423129417083939,0.4966140342511876,5.2701603922666775
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.6182614276960502,0.07274327078734467,0.38224719297675835,5.254743000135469
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.24253966893970974,0.011208352051388528,0.05882549100938401,5.248362180245445
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.42163735417458686,0.033761470134520584,0.177778058435346,5.265708445959249
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,1.20990528505713,0.27793067480234984,1.463870798809175,5.267035744975633
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.6353068485584287,0.07692084806961046,0.4036147918252422,5.247144330233932
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.5820507182062646,0.06432839476812545,0.33878303856442854,5.266461875592994
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.34060861289129524,0.02201690500774999,0.11601422717573222,5.269324963472159
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.29378785626878406,0.01645304023164532,0.08631130449100771,5.245918278677697
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.23578908148629543,0.010559281898792865,0.05559649094815086,5.265177261202454
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.4742010968154716,0.04261181923412569,0.22486668022099632,5.27709645498805
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.18297025324648025,0.006361104435316262,0.033478113573081114,5.2629404081488955
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.16837494182541368,0.0053761109768313345,0.028350121034711444,5.273351156047179
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.24018041354440417,0.010950389753059595,0.057686631050361,5.267997975528045
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.6292252947267564,0.07505215650897167,0.3959244715239734,5.275324386936769
