N,assumption,option,experiment,dgp_name,mean_rmse,sd_rmse,mean_nmse,sd_nmse,mean_mse,mean_variance
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.6799363795304624,0.33501382925045353,0.10823156991836277,0.10023627572669884,0.5689360327085924,5.263129631398963
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.5091451203523534,0.2423088536968057,0.059822390960531026,0.061401303233273405,0.3150066551294794,5.264214654527811
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.3203815559258843,0.15138547608626188,0.02360716521597145,0.021674002699653996,0.12441602562886148,5.269768701750043
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.20174657563379278,0.09255346195607327,0.009265348975645949,0.008800204058317865,0.04883951693401327,5.266807201387533
3200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.1584912988191595,0.06396077719084999,0.0055114294298935105,0.004491432284732668,0.02900592376929878,5.264601592025942
6400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.10735668845341113,0.03648333786768156,0.0024290999336839965,0.0018874844302721983,0.012789940800551819,5.26558077963859
12800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.0755373806224808,0.01781173100272861,0.0011408850935158104,0.0005438288384962413,0.0060072907445534235,5.265485232101441
25600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.06257187719832767,0.01942281806398901,0.0008116208643846006,0.0005741172482266479,0.004273623384592076,5.2654194810719686
