rep,N,assumption,option,experiment,dgp_name,mu_rmse,mu_nmse,mu_mse,mu_variance,moment_rmse,moment_nmse,moment_mse,moment_variance,tau_rmse,tau_nmse,tau_mse,tau_variance,mu_config,moment_config
11,200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.06968833466694797,0.0241668536286413,0.004856463988652544,0.20095557590074178,0.02109140132193065,0.0761181695521123,0.00044484720972273804,0.0058441658849689646,0.271040993150506,0.013952130236546794,0.07346321996801264,5.265376592857484,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
12,200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.06854246581369154,0.023284249208528344,0.004698069619821073,0.2017702859021242,0.03241351323365402,0.1792543031705963,0.0010506358401482642,0.005861147105341032,0.9329142898727947,0.16541880565744657,0.8703290722488607,5.261367163121466,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
13,200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.05829259524590995,0.016847239943440853,0.003398026660503483,0.20169634147262433,0.021451362210275667,0.07823629339832415,0.000460160940676443,0.00588168125927985,0.5925352460038857,0.0668419654843305,0.35109801775688537,5.252658493999431,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
14,200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.06427412742839851,0.02060427554121184,0.004131163456682009,0.20050030142622693,0.02690112069771241,0.12462735408615899,0.000723670294792891,0.0058066730221408205,0.30737463145024124,0.017895708626083424,0.09447916405917162,5.279431288988801,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
15,200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.06563108138170838,0.021716851195248243,0.004307438843332429,0.19834546015008467,0.020701219861568664,0.07336284543845485,0.00042854050375700485,0.005841383348694043,0.3101224553618151,0.018295491377998404,0.096175937319641,5.256810835663,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
16,200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.07212280324173805,0.025665181309291202,0.005201698747446459,0.2026753165995894,0.03663073959415595,0.22784645607105566,0.0013418110832148643,0.00588910227682633,1.0289286019309904,0.20153138430176293,1.0586940678716628,5.253246642152905,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
17,200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.0712038538401764,0.024654386528791653,0.005069988801693203,0.20564246430437103,0.025821336050548836,0.11234830115016076,0.0006667413954353729,0.005934592589381748,0.9503201207436638,0.17215907340843223,0.9031083318902516,5.245778302649821,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
18,200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.0744924084589591,0.027685894984665078,0.005549118918016402,0.20043126368463074,0.030079118988555583,0.15579774059037083,0.0009047533991276851,0.005807230552248483,0.7118937452312528,0.09600283308070628,0.5067927044993799,5.278934883862611,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
19,200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.0642504968752069,0.020631670797131095,0.004128126348710971,0.20008686593065458,0.03199012290168797,0.17507653098327233,0.0010233679632651012,0.005845260684099794,1.2386198370494237,0.29157565099146776,1.534179100732341,5.261684559446409,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
0,400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.044763729480843124,0.009968998608471377,0.0020037914770341036,0.20100228274997825,0.022150344211682105,0.08390750677455892,0.0004906377486959989,0.005847364169861881,0.40907031366154195,0.03178790093194045,0.1673385215191523,5.264220556035857,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1,400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.06032104709777473,0.018314927555346593,0.003638628722971957,0.1986701127796571,0.01704483370931686,0.05025145205568883,0.0002905263561782644,0.005781451963941303,0.27426723644615364,0.014237827729480216,0.07522251698781034,5.2832860754494115,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
2,400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.05864511471154827,0.01718815029199129,0.0034392494795306553,0.20009421730115728,0.01759462341269377,0.0533249593633614,0.0003095707730345118,0.0058053635057659725,0.24690061615771286,0.01154880902628125,0.060959914259058265,5.278458940686764,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
