N,assumption,option,experiment,dgp_name,mean_rmse,sd_rmse,mean_nmse,sd_nmse,mean_mse,mean_variance
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.027845319343961866,0.004751677378459514,0.1361710763918666,0.04717767389690512,0.0007968113253807327,0.005851946238512991
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.020599904486650774,0.003020747202811506,0.07398738743076091,0.022994744037002635,0.00043302473283926367,0.005854280400439524
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.016022081994217403,0.0022985527329208214,0.044861310245936654,0.01274272711109377,0.0002617262888621424,0.005835895250755263
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.011661983856359158,0.0012831553373748748,0.02355121731530795,0.005366972745235695,0.00013756603070482358,0.005844013919938695
3200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.009022198395415142,0.0009424003106658635,0.01405519727834253,0.0028988065318912366,8.224377631449751e-05,0.005850260236527981
6400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.006706566415991437,0.0007725242247345711,0.007788681636649463,0.0017044525898152587,4.55449870860159e-05,0.005847276707882346
12800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.004917089098546543,0.0005629301787183649,0.004186757484377004,0.0009888684999491471,2.4478811069851548e-05,0.00584705100246022
25600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.003828865143981626,0.0003913012676188185,0.002532105319771089,0.0005191375469831924,1.4805669138735528e-05,0.00584744253948939
