N,assumption,option,experiment,dgp_name,rmse,nmse,mse,variance,moment_config
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.022215705758882945,0.08475949577443599,0.0004935375823652649,0.0058227998863829835,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.02044922107925288,0.07168319906562658,0.00041817064274816024,0.005833593480744651,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.020535183754436307,0.07199064283990042,0.0004216937718284648,0.005857619201515774,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.01664937889851065,0.046766952823537725,0.0002772018177061717,0.00592730124522153,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.02186239547646799,0.08181580963725475,0.00047796433596948795,0.005841955706221446,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.022025280049881815,0.08320084916020828,0.0004851129612757219,0.005830625121885564,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.023689864403746402,0.09504938457005992,0.0005612096754678908,0.005904400938590286,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.020884790950931216,0.0749218812979533,0.00043617449306409834,0.005821723714191006,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.021554316147577354,0.07970547617066163,0.0004645885445897139,0.005828815872010584,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.02081550533416326,0.07354489791510571,0.0004332852623165792,0.005891438761893839,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.0161249364955225,0.04407116343961895,0.00026001357698463343,0.005899857337346518,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.020113892195364542,0.06908256380520841,0.0004045686592467466,0.005856306381267288,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.029574436638253116,0.1496273065624812,0.0008746473024700483,0.0058455058943723895,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.01761867218069078,0.05254192091852924,0.0003104176094106472,0.005907998869930477,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.022278545781438903,0.085022715413042,0.0004963336021356692,0.005837658791823701,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.018544172948835994,0.05896331320185051,0.0003438863503563406,0.005832208735949188,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.020271990305366125,0.06951625782613463,0.00041095359094085813,0.005911618429874114,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.014138464088076473,0.034216819726230155,0.0001998961667698281,0.005842044011372289,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.018652073618515824,0.05975048828882473,0.0003478998502705339,0.005822544053344622,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.014309941810215011,0.03496103420857727,0.00020477443461173968,0.0058572190224710444,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.01250304631916579,0.026875737172666336,0.0001563261672592052,0.005816628070696976,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.016974488893438992,0.04928819767082739,0.0002881332731934837,0.005845887794838632,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.019338879199571783,0.06429315088547424,0.0003739922486956301,0.005816984290625678,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.014314041338421813,0.03490887120543554,0.00020489177943804854,0.005869332704351253,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.014278575199545914,0.035011444015343736,0.00020387770972908766,0.005823173406950551,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.018556090064495132,0.05871964734511653,0.00034432847848165493,0.005863939823376533,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.014477416454910514,0.03584344665768862,0.0002095955872089137,0.005847528816371634,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.01477763400503618,0.03725539971274632,0.00021837846678680162,0.005861659476762694,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.01363335417947202,0.032028218538751874,0.0001858683461829272,0.005803268325961985,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.01913068164407344,0.06271352511675275,0.00036598298016688846,0.00583579027786341,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.018356349521534518,0.05783403742413615,0.0003369555677567405,0.005826250124742584,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.018611825810423022,0.05981929905918093,0.00034640005999752856,0.00579077430604503,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.012386708123792287,0.02632379204002499,0.00015343053814402186,0.00582858799031434,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.018144159072227686,0.05677081476571745,0.00032921050843830223,0.005798939292960521,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.01681657468255189,0.0485481836691164,0.00028279718405384524,0.005825082684478364,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.015475038411695702,0.040603407053098554,0.00023947681384345744,0.005897948749233898,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.015566297447184085,0.041460690363023085,0.00024230961621420975,0.005844321792343205,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.010303337313707014,0.018103375890695605,0.00010615875980002728,0.0058640311310438255,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.010129924233479682,0.017487180143570178,0.00010261536497603893,0.00586803384728494,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.010536254510213235,0.01901444931957523,0.00011101265910398871,0.005838331536096711,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.011975845376904935,0.024548339757348527,0.0001434208724915353,0.0058423858358324365,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.01483831227513935,0.03792673009429088,0.0002201755111745511,0.005805285892750722,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.011040146930459684,0.020953888699537796,0.00012188484424613839,0.005816812620982707,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.011900654359353433,0.024262626877163296,0.00014162557418079786,0.005837190461602493,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.01340552740276456,0.030785750622393648,0.00017970816494627153,0.0058373812985918,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.011792742937251308,0.02374054966796109,0.00013906878598409061,0.005857858723960803,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.013016164513040456,0.028985225823993502,0.0001694205386305337,0.005845065332914885,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.01186369355638377,0.02422723845941541,0.0001407472247997818,0.00580946214879407,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.010172547055694226,0.017645575199643937,0.00010348071360031327,0.00586440013598431,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.011386384793067424,0.02217301116705094,0.00012964975865579706,0.005847187722002161,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
