N,assumption,option,experiment,dgp_name,mean_rmse,sd_rmse,mean_nmse,sd_nmse,mean_mse,mean_variance
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.06941556410744013,0.010157330321161631,0.024443039670310102,0.007985813902630408,0.004916533331644661,0.2011065808146777
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.05271306950555009,0.006306826068867135,0.01396778023709017,0.00329222911676553,0.00281645494900675,0.20173524357342204
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.04264752541460923,0.006875431208634103,0.009266174638662611,0.0030938332932277687,0.0018637194005791669,0.2011914912860057
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.034054314924396686,0.004555115545290267,0.005857845733364251,0.001623892370840668,0.001179407988719385,0.2013096743643905
3200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.029251516322447768,0.001838269830042638,0.004263796803103891,0.0005304118696907082,0.0008588614813320709,0.20142277903384084
6400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.024631622024846127,0.0022691888049818673,0.0030373432840486445,0.0005476350212338741,0.000611608560515907,0.20135613887062648
12800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.021894491774154416,0.001531857631207832,0.0023924907524790484,0.00033493253619949894,0.0004815980284606907,0.2013053949193971
25600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.01961291112463608,0.0011188710094882151,0.0019165189745038124,0.00021880991703119456,0.00038585556150195317,0.20133195896311004
