rep,setting,assumption,method,stage,target,time,time_s,time_t,rmse,relative_rmse,bias,mae,corr,mean_est,mean_true,sd_est,sd_true
0,power,lagged,RC,mu,all_periods,,,,0.6201425112878134,0.09839404326694591,0.007818934048635158,0.22403310366515644,0.9836251805498692,5.3006930962472545,5.292874162198619,3.4305597146172166,3.421810886459691
0,power,lagged,RC,mu,period_1,1.0,,,0.5120655012430131,0.0770948705457949,0.011698630697801611,0.18890900253753473,0.9896015555899251,5.620870630746874,5.609172000049074,3.537143960930188,3.557188457299274
0,power,lagged,RC,mu,period_2,2.0,,,0.2683155397073688,0.047709322201379536,0.02007347029431741,0.1803529878338613,0.9753711750941684,5.5117133335259565,5.491639863231639,1.177365171558696,1.2127941152120933
0,power,lagged,RC,mu,period_3,3.0,,,0.30004058459052174,0.05593045127006609,0.0004443404272428566,0.18872764676322681,0.925417075383493,5.326230703114549,5.325786362687306,0.7703453274458376,0.6435696549739367
0,power,lagged,RC,mu,period_4,4.0,,,0.5768874203549631,0.09681576310088993,0.005014801642525038,0.23751678052965383,0.9822802306260606,5.1307068601953105,5.125692058552786,3.076738958090303,3.0384732577238793
0,power,lagged,RC,mu,period_5,5.0,,,1.079748080320052,0.14106469985293338,0.0018634271812888912,0.3246591006615054,0.983109435071059,4.913943953653579,4.912080526472289,5.878792691295743,5.870212841137995
0,power,lagged,RC,moment,offdiag_all,,,,0.23734490875243197,0.6310712012517349,-0.12993590307225178,0.1358243099048078,0.8827528293157892,0.09753386284134821,0.2274697659136,0.12422908367992519,0.2995122023700268
0,power,lagged,RC,moment,offdiag_t2_s1,,1.0,2.0,0.0629854479293346,0.877954098192308,-0.04529657731850162,0.04811098180606195,0.138532430247932,0.011236716147098385,0.0565332934656,0.004689156599063098,0.04416764852654527
0,power,lagged,RC,moment,offdiag_t3_s1,,1.0,3.0,0.07048078845527231,0.779271969225483,-0.050723626201665845,0.050749944860921964,0.5558230693739349,0.01900965251833415,0.06973327871999999,0.0219100498193219,0.05759739552632087
0,power,lagged,RC,moment,offdiag_t3_s2,,2.0,3.0,0.19377992402641173,0.732578843580653,-0.1245881950798792,0.12849712525544965,0.5915746432050234,0.0775449607601208,0.20213315584,0.04521559949527076,0.1706214961545104
0,power,lagged,RC,moment,offdiag_t4_s1,,1.0,4.0,0.08720391904742636,0.8634517866079328,-0.06203621881820028,0.06203621881820028,0.3604625117837344,0.014763717284199725,0.0767999361024,0.019995740513280583,0.06558709962499108
0,power,lagged,RC,moment,offdiag_t4_s2,,2.0,4.0,0.22632612159570537,0.7416943245715814,-0.14325054364645404,0.15262204719380548,0.6251635691731253,0.08611590606874595,0.2293664497152,0.04818251859818812,0.20126099863498476
0,power,lagged,RC,moment,offdiag_t4_s3,,3.0,4.0,0.2960960805649763,0.561490193316553,-0.1792265270143041,0.1927191318170681,0.8929856863976641,0.21330639944969584,0.39253292646399995,0.14001655880602606,0.35214355098631855
0,power,lagged,RC,moment,offdiag_t5_s1,,1.0,5.0,0.08424392637558427,0.8149958815276619,-0.06063835343854943,0.06063835343854943,0.6109718104958949,0.017094912174250576,0.07773326561280001,0.019031638076723822,0.06813471056435913
0,power,lagged,RC,moment,offdiag_t5_s2,,2.0,5.0,0.24691176334987133,0.7853066376292965,-0.1540533081125783,0.15992771272617207,0.4657906080674919,0.0792797920218217,0.2333331001344,0.04859774672977059,0.21074182735199112
0,power,lagged,RC,moment,offdiag_t5_s3,,3.0,5.0,0.32765033631622204,0.5981353901812431,-0.201686494309696,0.20668224139834446,0.8779411771423004,0.20017972725830396,0.401866221568,0.13996554247082252,0.3722543546362211
0,power,lagged,RC,moment,offdiag_t5_s4,,4.0,5.0,0.44150035483520145,0.6006996617490218,-0.2778591867826889,0.2962593417335046,0.9533178741916384,0.25680684473091103,0.5346660315135999,0.17331128117948932,0.5043046979633511
0,power,lagged,RC,moment_raw,offdiag_raw_all,,,,3.4281187025764868,9.114950049023603,-0.12458612140668797,0.4417667872219842,0.10558720995669024,0.10288364450691201,0.2274697659136,3.4445074124363235,0.2995122023700268
1,power,lagged,RC,mu,all_periods,,,,0.6295094438536923,0.09988023450749112,-0.01181452643523743,0.22117716252575356,0.9830195510911286,5.281059635763381,5.292874162198619,3.320375646950574,3.421810886459691
1,power,lagged,RC,mu,period_1,1.0,,,0.5155535101551927,0.07762001351069746,-0.041453360466100424,0.19341261440448165,0.9895271020039302,5.567718639582973,5.609172000049074,3.540559558186018,3.557188457299274
1,power,lagged,RC,mu,period_2,2.0,,,0.2716461324570164,0.04830153658742597,-0.024020941650940358,0.17563960183382607,0.9784097066518646,5.467618921580699,5.491639863231639,1.2885273302877336,1.2127941152120933
1,power,lagged,RC,mu,period_3,3.0,,,0.286446883485213,0.05339645461662025,-0.009325553348295055,0.1598015024651184,0.8962464570884647,5.316460809339011,5.325786362687306,0.5986546588086316,0.6435696549739367
1,power,lagged,RC,mu,period_4,4.0,,,0.6037396350231986,0.1013222188881465,0.01608506951343828,0.25556307345174606,0.980530274914287,5.141777128066224,5.125692058552786,2.8885347329787514,3.0384732577238793
1,power,lagged,RC,mu,period_5,5.0,,,1.0932841773465825,0.14283313593448835,-0.00035784622428960234,0.3214690204735957,0.9827025258676859,4.911722680248,4.912080526472289,5.652658384854659,5.870212841137995
1,power,lagged,RC,moment,offdiag_all,,,,0.22313551229813547,0.5932901469345833,-0.11895333877237235,0.12663139607565033,0.9224053470365913,0.10851642714122763,0.2274697659136,0.12708040682589228,0.2995122023700268
1,power,lagged,RC,moment,offdiag_t2_s1,,1.0,2.0,0.05171158616120751,0.7208077498344212,-0.0385714388186757,0.04005589106629131,0.862263528428314,0.017961854646924295,0.0565332934656,0.011893433817355284,0.04416764852654527
1,power,lagged,RC,moment,offdiag_t3_s1,,1.0,3.0,0.0677417548315693,0.7489877999859123,-0.04129621289001863,0.0461055358699563,0.41012283061217275,0.028437065829981373,0.06973327871999999,0.012481657403691965,0.05759739552632087
1,power,lagged,RC,moment,offdiag_t3_s2,,2.0,3.0,0.1658099208077813,0.6268391354256501,-0.11006474270268675,0.11340672451512243,0.9047544917634747,0.09206841313731326,0.20213315584,0.05388544846775666,0.1706214961545104
1,power,lagged,RC,moment,offdiag_t4_s1,,1.0,4.0,0.07801353959581142,0.7724530144909822,-0.04661602157759634,0.0504328795868504,0.30687190772539336,0.030183914524803665,0.0767999361024,0.024186503230526634,0.06558709962499108
1,power,lagged,RC,moment,offdiag_t4_s2,,2.0,4.0,0.20943837434796164,0.686351414084096,-0.12933167762182973,0.13780996901412337,0.7828563257327762,0.10003477209337026,0.2293664497152,0.050523759389569274,0.20126099863498476
1,power,lagged,RC,moment,offdiag_t4_s3,,3.0,4.0,0.2770544526017635,0.5253813486951531,-0.1788515479876196,0.18557410844893563,0.9547946920329554,0.21368137847638036,0.39253292646399995,0.1523407955678625,0.35214355098631855
1,power,lagged,RC,moment,offdiag_t5_s1,,1.0,5.0,0.08144648664403,0.7879327808612221,-0.05303493469853524,0.053110464153213625,0.4361514935443379,0.02469833091426476,0.07773326561280001,0.021869093719953738,0.06813471056435913
