method,l,assumption,setting,reject_rate,rmse,mean_p
DM,0,lagged,power,0.135,,0.4444750924515345
DM,1,lagged,power,0.135,,0.47329864262345933
DM,2,lagged,power,0.135,,0.5055970806914832
DM,3,lagged,power,0.13,,0.5024300891423328
DM,4,lagged,power,0.105,,0.4728842315369262
Oracle,0,lagged,power,1.0,,9.723910235404601e-05
Oracle,1,lagged,power,1.0,,0.0012682926112494697
Oracle,2,lagged,power,0.975,,0.009048755634500848
Oracle,3,lagged,power,0.87,,0.04381524674312663
Oracle,4,lagged,power,0.485,,0.1749201596806387
RC,0,lagged,power,0.42,0.9036775268998518,0.2579324071196508
RC,1,lagged,power,0.4,0.9045711579965787,0.28132555422396377
RC,2,lagged,power,0.27,0.9631965696432513,0.32824468237938575
RC,3,lagged,power,0.245,1.0724745160563167,0.3525467211228592
RC,4,lagged,power,0.18,1.055585182745761,0.366996007984032
SS,0,lagged,power,0.175,0.847872086774154,0.47320194184197284
SS,1,lagged,power,0.16,0.8632365817546557,0.46747928308187475
SS,2,lagged,power,0.12,0.9381094259720196,0.5149662577559089
SS,3,lagged,power,0.115,1.1241215402032712,0.5092593316641474
SS,4,lagged,power,0.115,1.8142648570762865,0.508373253493014
cDM,0,lagged,power,0.205,,0.4062673135498318
cDM,1,lagged,power,0.15,,0.4254608074310515
cDM,2,lagged,power,0.14,,0.4498543771394226
cDM,3,lagged,power,0.095,,0.4713252211779085
cDM,4,lagged,power,0.09,,0.5052594810379242
