rep,method,rmse,l,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
0,RC,0.755592240776338,0,-2.600957870737417,0.1437125748502994,0,lagged,power,500,0.1
0,Oracle,,0,6.681919274929858,0.001996007984031936,1,lagged,power,500,0.1
0,DM,,0,0.2966077187773345,0.07385229540918163,1,lagged,power,500,0.1
0,cDM,,0,0.057774465278339834,0.21756487025948104,0,lagged,power,500,0.1
0,SS,0.7495828621503344,0,-2.070535333393387,0.8562874251497006,0,lagged,power,500,0.1
0,RC,0.7286821268098262,1,8.963201193852449,0.0499001996007984,1,lagged,power,500,0.1
0,Oracle,,1,3.200924805493821,0.001996007984031936,1,lagged,power,500,0.1
0,DM,,1,0.22183072956844502,0.16966067864271456,0,lagged,power,500,0.1
0,cDM,,1,-0.08764315541137069,0.8423153692614771,0,lagged,power,500,0.1
0,SS,0.6453466811605011,1,-0.47240839008346946,0.21157684630738524,0,lagged,power,500,0.1
0,RC,1.0344059959969085,2,6.672720150824765,0.2774451097804391,0,lagged,power,500,0.1
0,Oracle,,2,0.3865609760962639,0.11177644710578842,0,lagged,power,500,0.1
0,DM,,2,0.6078682963702703,0.015968063872255488,1,lagged,power,500,0.1
0,cDM,,2,0.11099462913840334,0.12375249500998003,0,lagged,power,500,0.1
0,SS,0.7851047816592396,2,-1.4151605358520858,0.23353293413173654,0,lagged,power,500,0.1
0,RC,1.3985895667896462,3,-17.00108593334761,0.7704590818363274,0,lagged,power,500,0.1
0,Oracle,,3,3.2216334930633583,0.10179640718562874,0,lagged,power,500,0.1
0,DM,,3,0.40629966288871877,0.17764471057884232,0,lagged,power,500,0.1
0,cDM,,3,0.031229543977887908,0.44510978043912175,0,lagged,power,500,0.1
0,SS,0.8183559775962445,3,-4.510829621087512,0.810379241516966,0,lagged,power,500,0.1
0,RC,1.0714662851023422,4,12.983688256795997,0.41317365269461076,0,lagged,power,500,0.1
0,Oracle,,4,2.2375749306727455,0.17365269461077845,0,lagged,power,500,0.1
0,DM,,4,0.7302117833328543,0.13972055888223553,0,lagged,power,500,0.1
0,cDM,,4,0.017915617290030883,0.4810379241516966,0,lagged,power,500,0.1
0,SS,1.7528834741844144,4,-13.896620157132,0.6447105788423154,0,lagged,power,500,0.1
1,RC,0.8423812609899933,0,3.733061153377912,0.06786427145708583,1,lagged,power,500,0.1
1,Oracle,,0,11.763096799301053,0.001996007984031936,1,lagged,power,500,0.1
1,DM,,0,-0.4517136239643996,0.9760479041916168,0,lagged,power,500,0.1
1,cDM,,0,-0.07417405309195055,0.8063872255489022,0,lagged,power,500,0.1
1,SS,0.7751447715413062,0,0.6354596378806899,0.6287425149700598,0,lagged,power,500,0.1
1,RC,1.049086718075317,1,4.366813654259045,0.09580838323353294,1,lagged,power,500,0.1
1,Oracle,,1,8.965059696308414,0.001996007984031936,1,lagged,power,500,0.1
1,DM,,1,-0.5042695589287832,0.9600798403193613,0,lagged,power,500,0.1
1,cDM,,1,-0.05648585034065956,0.720558882235529,0,lagged,power,500,0.1
1,SS,0.842948276747358,1,1.0152952380903533,0.4111776447105788,0,lagged,power,500,0.1
1,RC,1.0346909353643499,2,9.337117220135937,0.19161676646706588,0,lagged,power,500,0.1
1,Oracle,,2,3.1986680240976813,0.003992015968063872,1,lagged,power,500,0.1
1,DM,,2,-0.6334334215125272,0.9720558882235529,0,lagged,power,500,0.1
1,cDM,,2,-0.1638826304951183,0.9421157684630739,0,lagged,power,500,0.1
1,SS,0.9128981156184374,2,1.9495702933499135,0.2275449101796407,0,lagged,power,500,0.1
1,RC,1.344819752128014,3,8.566084039518053,0.5708582834331337,0,lagged,power,500,0.1
1,Oracle,,3,2.0838870005505283,0.1377245508982036,0,lagged,power,500,0.1
1,DM,,3,-0.5692874878291014,0.9041916167664671,0,lagged,power,500,0.1
1,cDM,,3,-0.018648382552164305,0.5429141716566867,0,lagged,power,500,0.1
1,SS,0.8659061698819732,3,1.477059278438845,0.05189620758483034,1,lagged,power,500,0.1
1,RC,1.3167354061320673,4,-10.89046719730926,0.626746506986028,0,lagged,power,500,0.1
1,Oracle,,4,0.24536737100264516,0.6047904191616766,0,lagged,power,500,0.1
1,DM,,4,-1.328539467789992,0.9620758483033932,0,lagged,power,500,0.1
1,cDM,,4,-0.1536874305359066,0.7904191616766467,0,lagged,power,500,0.1
1,SS,1.5407728514101549,4,-4.701105309678743,0.013972055888223553,1,lagged,power,500,0.1
2,RC,0.9265843324625103,0,-1.5202696933973365,0.01996007984031936,1,lagged,power,500,0.1
2,Oracle,,0,14.67798461496127,0.001996007984031936,1,lagged,power,500,0.1
2,DM,,0,0.4126998732147874,0.027944111776447105,1,lagged,power,500,0.1
2,cDM,,0,-0.021557592312096047,0.6327345309381237,0,lagged,power,500,0.1
2,SS,0.8157242406809664,0,0.11278149860900104,0.6287425149700598,0,lagged,power,500,0.1
2,RC,0.621016494079302,1,2.0483786114236233,0.08383233532934131,1,lagged,power,500,0.1
2,Oracle,,1,5.7865637391523626,0.001996007984031936,1,lagged,power,500,0.1
2,DM,,1,0.46461532753916046,0.027944111776447105,1,lagged,power,500,0.1
2,cDM,,1,0.018924220950735815,0.36926147704590817,0,lagged,power,500,0.1
2,SS,0.8277504111258892,1,2.1994605931136015,0.7445109780439122,0,lagged,power,500,0.1
2,RC,0.572425116425109,2,0.15527029503681686,0.06986027944111776,1,lagged,power,500,0.1
2,Oracle,,2,2.124709056813867,0.043912175648702596,1,lagged,power,500,0.1
2,DM,,2,0.5292093151866796,0.0718562874251497,1,lagged,power,500,0.1
2,cDM,,2,-0.10268398324979237,0.8582834331337326,0,lagged,power,500,0.1
2,SS,0.9494623690266301,2,3.5017346681754566,0.2774451097804391,0,lagged,power,500,0.1
2,RC,0.6183973280434412,3,0.31185416900361135,0.04790419161676647,1,lagged,power,500,0.1
2,Oracle,,3,5.388791369983992,0.00998003992015968,1,lagged,power,500,0.1
2,DM,,3,0.6955558074505152,0.07784431137724551,1,lagged,power,500,0.1
2,cDM,,3,-0.10826194377085502,0.8363273453093812,0,lagged,power,500,0.1
2,SS,1.2709237495968027,3,-5.119478570280652,0.780439121756487,0,lagged,power,500,0.1
2,RC,0.6699027777377544,4,-3.3317887252622342,0.36327345309381237,0,lagged,power,500,0.1
2,Oracle,,4,3.615323135706396,0.02594810379241517,1,lagged,power,500,0.1
