rep,method,rmse,t,l,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
0,RC,0.7758615710728396,1,0,-3.1534261635804874,0.4111776447105788,0,lagged,power,500,0.1
0,Oracle,,1,0,6.9869203168345715,0.003992015968063872,1,lagged,power,500,0.1
0,DM,,1,0,0.027861735275743347,0.48502994011976047,0,lagged,power,500,0.1
0,cDM,,1,0,0.04853100152222134,0.37325349301397204,0,lagged,power,500,0.1
0,SS,0.8286913297631318,1,0,-2.882731997643912,0.7385229540918163,0,lagged,power,500,0.1
0,RC,0.7709340980527287,2,0,6.229290186849919,0.10179640718562874,0,lagged,power,500,0.1
0,Oracle,,2,0,-0.14100217857295194,0.16766467065868262,0,lagged,power,500,0.1
0,DM,,2,0,-0.003864087406884681,0.5209580838323353,0,lagged,power,500,0.1
0,cDM,,2,0,0.13732321509318632,0.1656686626746507,0,lagged,power,500,0.1
0,SS,0.7894012347563257,2,0,-6.01746203523343,0.9141716566866267,0,lagged,power,500,0.1
0,RC,0.8195742806992862,3,0,-0.6425647073492682,0.11177644710578842,0,lagged,power,500,0.1
0,Oracle,,3,0,24.034526203677363,0.00998003992015968,1,lagged,power,500,0.1
0,DM,,3,0,1.0544441956236246,0.001996007984031936,1,lagged,power,500,0.1
0,cDM,,3,0,0.211933665563038,0.1157684630738523,0,lagged,power,500,0.1
0,SS,0.8167624661609058,3,0,-4.627790430109553,0.844311377245509,0,lagged,power,500,0.1
0,RC,0.7691376595436331,4,0,-6.4171067998416165,0.49700598802395207,0,lagged,power,500,0.1
0,Oracle,,4,0,2.0529752163808017,0.3712574850299401,0,lagged,power,500,0.1
0,DM,,4,0,-0.05209383839517351,0.5868263473053892,0,lagged,power,500,0.1
0,cDM,,4,0,0.11103467815966811,0.22954091816367264,0,lagged,power,500,0.1
0,SS,0.747796977839451,4,0,-2.4877857461610344,0.7105788423153693,0,lagged,power,500,0.1
0,RC,0.6424535945132025,5,0,-9.020981869765633,0.8363273453093812,0,lagged,power,500,0.1
0,Oracle,,5,0,0.47617681632950304,0.08582834331337326,1,lagged,power,500,0.1
0,DM,,5,0,0.45669058878936253,0.21756487025948104,0,lagged,power,500,0.1
0,cDM,,5,0,-0.2199502339464146,0.9021956087824351,0,lagged,power,500,0.1
0,SS,0.5652623022318578,5,0,5.663093542180991,0.08183632734530938,1,lagged,power,500,0.1
0,RC,0.7082160504009744,1,1,0.4652770707980385,0.0658682634730539,1,lagged,power,500,0.1
0,Oracle,,1,1,3.0186742959732786,0.011976047904191617,1,lagged,power,500,0.1
0,DM,,1,1,-0.03106144088882498,0.5229540918163673,0,lagged,power,500,0.1
0,cDM,,1,1,-0.08303351530058134,0.7045908183632734,0,lagged,power,500,0.1
0,SS,0.7107876297299186,1,1,-3.4483753806551594,0.8562874251497006,0,lagged,power,500,0.1
0,RC,0.7135322258485046,2,1,-2.3442955755125605,0.47105788423153694,0,lagged,power,500,0.1
0,Oracle,,2,1,-0.35224662243555316,0.3313373253493014,0,lagged,power,500,0.1
0,DM,,2,1,0.23421410095930065,0.25149700598802394,0,lagged,power,500,0.1
0,cDM,,2,1,0.012724904525945067,0.49700598802395207,0,lagged,power,500,0.1
0,SS,0.5810600840036168,2,1,-0.6229311244581621,0.3373253493013972,0,lagged,power,500,0.1
0,RC,0.6954878494379311,3,1,24.086374912309314,0.03592814371257485,1,lagged,power,500,0.1
0,Oracle,,3,1,10.332246292266236,0.021956087824351298,1,lagged,power,500,0.1
0,DM,,3,1,0.8552253688507989,0.033932135728542916,1,lagged,power,500,0.1
0,cDM,,3,1,0.00036229772538041993,0.4930139720558882,0,lagged,power,500,0.1
0,SS,0.5443529430290077,3,1,0.7246282848808792,0.1217564870259481,0,lagged,power,500,0.1
0,RC,0.7974923815518953,4,1,13.645448367815,0.8003992015968064,0,lagged,power,500,0.1
0,Oracle,,4,1,-0.1949747438286764,0.31736526946107785,0,lagged,power,500,0.1
0,DM,,4,1,-0.17105511064749446,0.6447105788423154,0,lagged,power,500,0.1
0,cDM,,4,1,-0.2806263085962269,0.9101796407185628,0,lagged,power,500,0.1
0,SS,0.7451860678794611,4,1,1.457044659898565,0.11177644710578842,0,lagged,power,500,0.1
0,RC,1.0324450969382994,1,2,-4.389012164347091,0.3033932135728543,0,lagged,power,500,0.1
0,Oracle,,1,2,2.299414207550933,0.0499001996007984,1,lagged,power,500,0.1
0,DM,,1,2,0.3499753013799477,0.2155688622754491,0,lagged,power,500,0.1
0,cDM,,1,2,0.22694168731737013,0.11177644710578842,0,lagged,power,500,0.1
0,SS,0.8150344453856091,1,2,-3.0167572108027434,0.4930139720558882,0,lagged,power,500,0.1
0,RC,1.0332552771333747,2,2,-6.170056912146483,0.35129740518962077,0,lagged,power,500,0.1
0,Oracle,,2,2,0.5461228821305276,0.5548902195608783,0,lagged,power,500,0.1
0,DM,,2,2,0.06534562832847268,0.4750499001996008,0,lagged,power,500,0.1
0,cDM,,2,2,-0.025094667959432354,0.5389221556886228,0,lagged,power,500,0.1
0,SS,0.6571262169480563,2,2,0.60322856962853,0.11976047904191617,0,lagged,power,500,0.1
0,RC,1.0375176139190516,3,2,30.57722952896787,0.4411177644710579,0,lagged,power,500,0.1
0,Oracle,,3,2,-1.685854161392669,0.5349301397205589,0,lagged,power,500,0.1
0,DM,,3,2,1.4082839594023906,0.011976047904191617,1,lagged,power,500,0.1
0,cDM,,3,2,0.1311368680572722,0.2634730538922156,0,lagged,power,500,0.1
0,SS,0.8831536826440535,3,2,-1.8319529663820435,0.5788423153692615,0,lagged,power,500,0.1
0,RC,1.5255906537428858,1,3,-29.475751075393106,0.6966067864271457,0,lagged,power,500,0.1
0,Oracle,,1,3,6.425072583983423,0.17564870259481039,0,lagged,power,500,0.1
0,DM,,1,3,0.4564524087162286,0.25948103792415167,0,lagged,power,500,0.1
0,cDM,,1,3,0.1894428479864173,0.16966067864271456,0,lagged,power,500,0.1
0,SS,0.8377205063991348,1,3,-9.091290482241076,0.8862275449101796,0,lagged,power,500,0.1
0,RC,1.2715884798364065,2,3,-4.526420791302118,0.8882235528942116,0,lagged,power,500,0.1
0,Oracle,,2,3,0.01819440214329404,0.17964071856287425,0,lagged,power,500,0.1
