method,l,t,assumption,setting,reject_rate,rmse,mean_p
DM,0,1,lagged,power,0.115,,0.44734530938123757
DM,0,2,lagged,power,0.065,,0.49948103792415166
DM,0,3,lagged,power,0.135,,0.4670059880239521
DM,0,4,lagged,power,0.13,,0.4665668662674651
DM,0,5,lagged,power,0.12,,0.48371257485029945
DM,1,1,lagged,power,0.145,,0.4357684630738523
DM,1,2,lagged,power,0.085,,0.5178243512974052
DM,1,3,lagged,power,0.115,,0.472564870259481
DM,1,4,lagged,power,0.115,,0.4732335329341318
DM,2,1,lagged,power,0.1,,0.46682634730538924
DM,2,2,lagged,power,0.085,,0.5115668662674651
DM,2,3,lagged,power,0.095,,0.48566866267465064
DM,3,1,lagged,power,0.115,,0.46124750499002
DM,3,2,lagged,power,0.08,,0.5127245508982036
DM,4,1,lagged,power,0.105,,0.4728842315369261
Oracle,0,1,lagged,power,0.85,,0.04843313373253493
Oracle,0,2,lagged,power,0.98,,0.011377245508982036
Oracle,0,3,lagged,power,0.975,,0.015508982035928143
Oracle,0,4,lagged,power,0.96,,0.023313373253493013
Oracle,0,5,lagged,power,0.775,,0.07744510978043913
Oracle,1,1,lagged,power,0.8,,0.06962075848303394
Oracle,1,2,lagged,power,0.97,,0.01962075848303393
Oracle,1,3,lagged,power,0.93,,0.030738522954091817
Oracle,1,4,lagged,power,0.705,,0.08462075848303392
Oracle,2,1,lagged,power,0.77,,0.07315369261477046
Oracle,2,2,lagged,power,0.885,,0.0412874251497006
Oracle,2,3,lagged,power,0.72,,0.09885229540918164
Oracle,3,1,lagged,power,0.71,,0.0933932135728543
Oracle,3,2,lagged,power,0.69,,0.1077744510978044
Oracle,4,1,lagged,power,0.485,,0.1749201596806387
RC,0,1,lagged,power,0.41,0.9054832526233954,0.3091716566866268
RC,0,2,lagged,power,0.315,0.9154952651271691,0.3817564870259481
RC,0,3,lagged,power,0.21,0.9046273056933651,0.4099101796407186
RC,0,4,lagged,power,0.225,0.9011747982268095,0.40989021956087823
RC,0,5,lagged,power,0.19,0.8916070128285198,0.44056886227544906
RC,1,1,lagged,power,0.375,0.8969111410059916,0.28179640718562876
RC,1,2,lagged,power,0.205,0.9342020144040756,0.40791417165668664
RC,1,3,lagged,power,0.165,0.8975495694177031,0.3894011976047904
RC,1,4,lagged,power,0.155,0.8896219071585445,0.4301996007984032
RC,2,1,lagged,power,0.305,0.9296273230144902,0.30333333333333334
RC,2,2,lagged,power,0.15,0.9967885524720324,0.4408582834331337
RC,2,3,lagged,power,0.19,0.9631738334432316,0.4358582834331337
RC,3,1,lagged,power,0.225,1.0308582950829184,0.36161676646706586
RC,3,2,lagged,power,0.155,1.114090737029715,0.41544910179640715
RC,4,1,lagged,power,0.18,1.055585182745761,0.366996007984032
SS,0,1,lagged,power,0.155,0.8549704581856433,0.4494411177644711
SS,0,2,lagged,power,0.2,0.8531093439474776,0.4862874251497006
SS,0,3,lagged,power,0.145,0.8479600238926516,0.49034930139720556
SS,0,4,lagged,power,0.115,0.855712058478476,0.5122754491017963
SS,0,5,lagged,power,0.05,0.8276085493665221,0.5338522954091816
SS,1,1,lagged,power,0.18,0.8638022735453075,0.4552195608782435
SS,1,2,lagged,power,0.125,0.8694052178325952,0.45395209580838325
SS,1,3,lagged,power,0.09,0.8455667368161448,0.5217564870259481
SS,1,4,lagged,power,0.12,0.8741720988245752,0.5228143712574851
SS,2,1,lagged,power,0.135,0.9518503052814005,0.5125848303393213
SS,2,2,lagged,power,0.09,0.9371343239712947,0.5117165668662674
SS,2,3,lagged,power,0.11,0.9253436486633637,0.5202694610778443
SS,3,1,lagged,power,0.1,1.133139168606928,0.4999700598802395
SS,3,2,lagged,power,0.1,1.1151039117996142,0.5237325349301397
SS,4,1,lagged,power,0.115,1.8142648570762865,0.508373253493014
cDM,0,1,lagged,power,0.15,,0.4595908183632734
cDM,0,2,lagged,power,0.16,,0.4562075848303393
cDM,0,3,lagged,power,0.165,,0.4367365269461078
cDM,0,4,lagged,power,0.135,,0.4587924151696607
cDM,0,5,lagged,power,0.135,,0.4813073852295409
cDM,1,1,lagged,power,0.155,,0.4352195608782435
cDM,1,2,lagged,power,0.135,,0.4628942115768463
cDM,1,3,lagged,power,0.135,,0.4529141716566866
cDM,1,4,lagged,power,0.1,,0.4666566866267465
cDM,2,1,lagged,power,0.12,,0.5028343313373254
cDM,2,2,lagged,power,0.145,,0.43578842315369265
cDM,2,3,lagged,power,0.11,,0.4730239520958084
cDM,3,1,lagged,power,0.12,,0.4752095808383233
cDM,3,2,lagged,power,0.105,,0.48243512974051894
cDM,4,1,lagged,power,0.09,,0.5052594810379242
