method,k,assumption,setting,reject_rate,rmse,mean_p
DM,1,lagged,power,0.1,,0.49587824351297405
DM,2,lagged,power,0.105,,0.48647704590818364
DM,3,lagged,power,0.085,,0.5178542914171657
DM,4,lagged,power,0.15,,0.4487325349301397
DM,5,lagged,power,0.105,,0.45967065868263474
Oracle,1,lagged,power,0.34,,0.2656187624750499
Oracle,2,lagged,power,0.48,,0.1774251497005988
Oracle,3,lagged,power,0.595,,0.12850299401197604
Oracle,4,lagged,power,0.735,,0.07818363273453094
Oracle,5,lagged,power,0.825,,0.06534930139720559
RC,1,lagged,power,0.125,0.7963479255323719,0.4605688622754491
RC,2,lagged,power,0.155,0.8067035029083687,0.4401297405189621
RC,3,lagged,power,0.265,0.876781050956313,0.384810379241517
RC,4,lagged,power,0.18,1.0474197805382814,0.4171656686626746
RC,5,lagged,power,0.225,1.2856088788296283,0.3867764471057884
SS,1,lagged,power,0.1,1.126648827834689,0.536187624750499
SS,2,lagged,power,0.11,1.084057665659516,0.48877245508982037
SS,3,lagged,power,0.095,1.0896404609131103,0.5039021956087825
SS,4,lagged,power,0.12,1.1961558661962786,0.47812375249500993
SS,5,lagged,power,0.12,1.3142618650296898,0.4907784431137725
cDM,1,lagged,power,0.06,,0.5911477045908184
cDM,2,lagged,power,0.12,,0.5261477045908184
cDM,3,lagged,power,0.16,,0.48084830339321355
cDM,4,lagged,power,0.205,,0.4005189620758483
cDM,5,lagged,power,0.215,,0.3983532934131737
