rep,method,rmse,l,n_terms,pvalue,reject,assumption,setting,n_perms,alpha
3,cDM,,0,5,0.3166490134231162,0,static,power,500,0.1
3,SS,0.8434637237899333,0,5,0.3160601746821979,0,static,power,500,0.1
3,RV,0.8233366716551759,1,4,0.014157204270367181,1,static,power,500,0.1
3,Oracle,,1,4,1.8832265298655447e-06,1,static,power,500,0.1
3,DM,,1,4,0.0006960770636569141,1,static,power,500,0.1
3,cDM,,1,4,0.25551000959340686,0,static,power,500,0.1
3,SS,0.8421107587454663,1,4,0.9274544335138638,0,static,power,500,0.1
3,RV,0.9101154961127961,2,3,0.0018893344809950865,1,static,power,500,0.1
3,Oracle,,2,3,0.00015746806678679427,1,static,power,500,0.1
3,DM,,2,3,9.430087977118364e-05,1,static,power,500,0.1
3,cDM,,2,3,0.05275028686066646,1,static,power,500,0.1
3,SS,1.1202871543550925,2,3,0.9945274762692693,0,static,power,500,0.1
3,RV,0.9768647881009043,3,2,0.0120643087929066,1,static,power,500,0.1
3,Oracle,,3,2,0.0022323897450482553,1,static,power,500,0.1
3,DM,,3,2,0.001691455384652113,1,static,power,500,0.1
3,cDM,,3,2,0.37805075620321477,0,static,power,500,0.1
3,SS,1.268070530448838,3,2,0.967150009950628,0,static,power,500,0.1
3,RV,0.46986307322325105,4,1,0.015968063872255484,1,static,power,500,0.1
3,Oracle,,4,1,0.04790419161676646,1,static,power,500,0.1
3,DM,,4,1,0.04391217564870258,1,static,power,500,0.1
3,cDM,,4,1,0.373253493013972,0,static,power,500,0.1
3,SS,1.4047976112001335,4,1,0.7864271457085829,0,static,power,500,0.1
4,RV,0.9959205864667421,0,5,0.00013378746310098216,1,static,power,500,0.1
4,Oracle,,0,5,6.934336562741456e-08,1,static,power,500,0.1
4,DM,,0,5,0.9179256663328281,0,static,power,500,0.1
4,cDM,,0,5,0.1628279599937802,0,static,power,500,0.1
4,SS,0.8610077360263357,0,5,0.7454430324134276,0,static,power,500,0.1
4,RV,1.0139281869383137,1,4,0.006986882658313588,1,static,power,500,0.1
4,Oracle,,1,4,2.548247499934284e-07,1,static,power,500,0.1
4,DM,,1,4,0.962693856228272,0,static,power,500,0.1
4,cDM,,1,4,0.12390742369312611,0,static,power,500,0.1
4,SS,1.030326788734958,1,4,0.13931499083554905,0,static,power,500,0.1
4,RV,1.03639403496756,2,3,0.08855823678961454,1,static,power,500,0.1
4,Oracle,,2,3,1.4105638010856692e-05,1,static,power,500,0.1
4,DM,,2,3,0.9781814922848966,0,static,power,500,0.1
4,cDM,,2,3,0.43102458355864814,0,static,power,500,0.1
4,SS,1.0420649822129897,2,3,0.08501168738876265,1,static,power,500,0.1
4,RV,1.0651839344426306,3,2,0.1073329797826968,0,static,power,500,0.1
4,Oracle,,3,2,0.0005234228812976076,1,static,power,500,0.1
4,DM,,3,2,0.9633497856168841,0,static,power,500,0.1
4,cDM,,3,2,0.6201259381124675,0,static,power,500,0.1
4,SS,1.2891850992497427,3,2,0.2755355558963174,0,static,power,500,0.1
4,RV,1.1750365531200593,4,1,0.5369261477045909,0,static,power,500,0.1
4,Oracle,,4,1,0.011976047904191616,1,static,power,500,0.1
4,DM,,4,1,0.9441117764471058,0,static,power,500,0.1
4,cDM,,4,1,0.7045908183632734,0,static,power,500,0.1
4,SS,1.7313743857683699,4,1,0.43313373253493015,0,static,power,500,0.1
5,RV,0.5329189279957015,0,5,0.002816040065625216,1,static,power,500,0.1
5,Oracle,,0,5,3.309778066286292e-08,1,static,power,500,0.1
5,DM,,0,5,0.1454214218249944,0,static,power,500,0.1
5,cDM,,0,5,0.3093796560766534,0,static,power,500,0.1
5,SS,0.5234481830887787,0,5,0.025142516086691786,1,static,power,500,0.1
