method,l,assumption,setting,reject_rate,rmse,mean_p
DM,0,static,power,0.17,,0.39978314824540634
DM,1,static,power,0.19,,0.4220407449577449
DM,2,static,power,0.18,,0.4522058966399654
DM,3,static,power,0.135,,0.4727430284082654
DM,4,static,power,0.105,,0.4888522954091816
Oracle,0,static,power,1.0,,4.678779566273137e-06
Oracle,1,static,power,1.0,,6.757110105542874e-05
Oracle,2,static,power,1.0,,0.0008601528152368604
Oracle,3,static,power,0.98,,0.01355099035181305
Oracle,4,static,power,0.695,,0.0878443113772455
RV,0,static,power,0.815,0.9770522166555835,0.07386907034757641
RV,1,static,power,0.685,0.9691040079529323,0.12288580699934153
RV,2,static,power,0.615,0.9692016886035931,0.17104793545440977
RV,3,static,power,0.465,0.9676186706129691,0.20746506537510154
RV,4,static,power,0.275,0.9075960517781203,0.30041916167664673
SS,0,static,power,0.295,0.7801851694655256,0.42354332533971734
SS,1,static,power,0.215,0.8562052865115848,0.47139915986281744
SS,2,static,power,0.17,0.9661602287308725,0.46506873780647545
SS,3,static,power,0.11,1.178474409373371,0.5116225784546785
SS,4,static,power,0.095,1.7311247676590609,0.4915369261477046
cDM,0,static,power,0.225,,0.36494794185944274
cDM,1,static,power,0.195,,0.39125781773318624
cDM,2,static,power,0.185,,0.4191405974591103
cDM,3,static,power,0.145,,0.47195628472356677
cDM,4,static,power,0.12,,0.5044510978043912
