method,k,assumption,setting,reject_rate,rmse,mean_p
DM,1,static,power,0.095,,0.5399500998003992
DM,2,static,power,0.11,,0.5023453093812376
DM,3,static,power,0.115,,0.47404191616766467
DM,4,static,power,0.12,,0.4606487025948104
DM,5,static,power,0.165,,0.42643712574850295
Oracle,1,static,power,0.37,,0.2443313373253493
Oracle,2,static,power,0.48,,0.16328343313373253
Oracle,3,static,power,0.63,,0.1142315369261477
Oracle,4,static,power,0.75,,0.08310379241516966
Oracle,5,static,power,0.815,,0.05538922155688622
RV,1,static,power,0.185,0.818497774189864,0.43283433133732535
RV,2,static,power,0.18,0.8764582789635672,0.4049301397205589
RV,3,static,power,0.295,0.9389913985734399,0.3256586826347306
RV,4,static,power,0.325,1.0081231781682027,0.24317365269461078
RV,5,static,power,0.335,1.103388771922039,0.276377245508982
SS,1,static,power,0.12,1.098393750411639,0.5011776447105788
SS,2,static,power,0.095,1.0243715302567011,0.5084830339321357
SS,3,static,power,0.125,1.084068664325243,0.46433133732534926
SS,4,static,power,0.175,1.206950313687607,0.4705688622754491
SS,5,static,power,0.11,1.2998966960001963,0.49262475049900195
cDM,1,static,power,0.065,,0.5430439121756487
cDM,2,static,power,0.09,,0.5569860279441118
cDM,3,static,power,0.135,,0.45038922155688627
cDM,4,static,power,0.2,,0.4111576846307385
cDM,5,static,power,0.255,,0.375
