method,l,t,assumption,setting,reject_rate,rmse,mean_p
DM,0,1,static,power,0.115,,0.48508982035928144
DM,0,2,static,power,0.14,,0.442315369261477
DM,0,3,static,power,0.17,,0.4469261477045908
DM,0,4,static,power,0.145,,0.4631936127744511
DM,0,5,static,power,0.125,,0.48971057884231534
DM,1,1,static,power,0.125,,0.49115768463073856
DM,1,2,static,power,0.155,,0.4496207584830339
DM,1,3,static,power,0.14,,0.43492015968063874
DM,1,4,static,power,0.13,,0.4709880239520958
DM,2,1,static,power,0.105,,0.48140718562874246
DM,2,2,static,power,0.16,,0.4479840319361278
DM,2,3,static,power,0.125,,0.4521057884231537
DM,3,1,static,power,0.11,,0.48725548902195615
DM,3,2,static,power,0.145,,0.4637924151696607
DM,4,1,static,power,0.105,,0.4888522954091816
Oracle,0,1,static,power,0.925,,0.022844311377245508
Oracle,0,2,static,power,1.0,,0.003782435129740519
Oracle,0,3,static,power,1.0,,0.006007984031936127
Oracle,0,4,static,power,0.97,,0.014121756487025947
Oracle,0,5,static,power,0.88,,0.04917165668662674
Oracle,1,1,static,power,0.905,,0.03192614770459082
Oracle,1,2,static,power,1.0,,0.005079840319361277
Oracle,1,3,static,power,0.985,,0.012125748502994011
Oracle,1,4,static,power,0.865,,0.052884231536926146
Oracle,2,1,static,power,0.91,,0.03235528942115769
Oracle,2,2,static,power,0.985,,0.010279441117764472
Oracle,2,3,static,power,0.82,,0.06029940119760479
Oracle,3,1,static,power,0.885,,0.04223552894211577
Oracle,3,2,static,power,0.865,,0.05049900199600798
Oracle,4,1,static,power,0.695,,0.08784431137724552
RV,0,1,static,power,0.51,0.9834888229973008,0.19232534930139722
RV,0,2,static,power,0.53,0.9879268409241314,0.22320359281437124
RV,0,3,static,power,0.335,0.976621477151019,0.28557884231536923
RV,0,4,static,power,0.49,0.9709964937097447,0.20450099800399202
RV,0,5,static,power,0.395,0.9662274484957222,0.24967065868263472
RV,1,1,static,power,0.485,0.9724966246744949,0.19795409181636728
RV,1,2,static,power,0.405,0.9868359795768445,0.2341816367265469
RV,1,3,static,power,0.32,0.9768270790768944,0.27493013972055885
RV,1,4,static,power,0.42,0.9402563484834954,0.24131736526946107
RV,2,1,static,power,0.345,0.9657251899945303,0.25630738522954094
RV,2,2,static,power,0.44,0.989081564557582,0.24277445109780438
RV,2,3,static,power,0.325,0.9527983112586672,0.26292415169660677
RV,3,1,static,power,0.33,0.9609147891887411,0.27552894211576845
RV,3,2,static,power,0.425,0.9743225520371973,0.2468063872255489
RV,4,1,static,power,0.275,0.9075960517781203,0.30041916167664673
SS,0,1,static,power,0.205,0.784652947042154,0.4375548902195609
SS,0,2,static,power,0.22,0.7849999997729133,0.44492015968063875
SS,0,3,static,power,0.19,0.7802257585161486,0.428183632734531
SS,0,4,static,power,0.23,0.7831068611218952,0.43399201596806386
SS,0,5,static,power,0.145,0.7679402808745174,0.47272455089820364
SS,1,1,static,power,0.175,0.856726856829103,0.5038622754491018
SS,1,2,static,power,0.205,0.8631642310851774,0.44199600798403194
SS,1,3,static,power,0.14,0.8472314074955567,0.47778443113772456
SS,1,4,static,power,0.135,0.8576986506365022,0.4818862275449101
SS,2,1,static,power,0.15,0.974975162185111,0.48103792415169666
SS,2,2,static,power,0.155,0.9723375986542454,0.4630439121756487
SS,2,3,static,power,0.085,0.951167925353261,0.47349301397205584
SS,3,1,static,power,0.13,1.175605352264349,0.4994610778443114
SS,3,2,static,power,0.1,1.1813434664823932,0.5087125748502994
SS,4,1,static,power,0.095,1.7311247676590609,0.49153692614770456
cDM,0,1,static,power,0.17,,0.454001996007984
cDM,0,2,static,power,0.21,,0.38951097804391216
cDM,0,3,static,power,0.14,,0.4357385229540918
cDM,0,4,static,power,0.14,,0.44815369261477045
cDM,0,5,static,power,0.125,,0.49134730538922156
cDM,1,1,static,power,0.15,,0.4578443113772455
cDM,1,2,static,power,0.15,,0.4097904191616767
cDM,1,3,static,power,0.14,,0.4218662674650699
cDM,1,4,static,power,0.155,,0.4839820359281437
cDM,2,1,static,power,0.11,,0.4565369261477046
cDM,2,2,static,power,0.17,,0.42761477045908186
cDM,2,3,static,power,0.135,,0.4509580838323353
cDM,3,1,static,power,0.09,,0.48058882235528944
cDM,3,2,static,power,0.145,,0.4631137724550898
cDM,4,1,static,power,0.12,,0.5044510978043912
