method,l,t,assumption,setting,reject_rate,rmse,mean_p
DM,0,1,lagged,power,0.185,,0.45781437125748503
DM,0,2,lagged,power,0.135,,0.4941916167664671
DM,0,3,lagged,power,0.16,,0.4635728542914172
DM,0,4,lagged,power,0.115,,0.46075848303393213
DM,0,5,lagged,power,0.105,,0.4896407185628743
DM,1,1,lagged,power,0.12,,0.47420159680638724
DM,1,2,lagged,power,0.135,,0.4957385229540918
DM,1,3,lagged,power,0.115,,0.46977045908183634
DM,1,4,lagged,power,0.115,,0.48572854291417167
DM,2,1,lagged,power,0.135,,0.47694610778443114
DM,2,2,lagged,power,0.125,,0.4977944111776447
DM,2,3,lagged,power,0.1,,0.48492015968063873
DM,3,1,lagged,power,0.14,,0.4830938123752495
DM,3,2,lagged,power,0.125,,0.496497005988024
DM,4,1,lagged,power,0.125,,0.49409181636726546
Oracle,0,1,lagged,power,0.96,,0.015139720558882235
Oracle,0,2,lagged,power,1.0,,0.0031237524950099797
Oracle,0,3,lagged,power,1.0,,0.003083832335329341
Oracle,0,4,lagged,power,1.0,,0.004840319361277445
Oracle,0,5,lagged,power,0.935,,0.02812375249500998
Oracle,1,1,lagged,power,0.935,,0.022105788423153694
Oracle,1,2,lagged,power,0.995,,0.004261477045908183
Oracle,1,3,lagged,power,0.995,,0.006227544910179641
Oracle,1,4,lagged,power,0.915,,0.03625748502994012
Oracle,2,1,lagged,power,0.91,,0.030449101796407186
Oracle,2,2,lagged,power,0.985,,0.009451097804391217
Oracle,2,3,lagged,power,0.915,,0.037784431137724554
Oracle,3,1,lagged,power,0.89,,0.0494311377245509
Oracle,3,2,lagged,power,0.82,,0.056487025948103786
Oracle,4,1,lagged,power,0.65,,0.11330339321357286
RC,0,1,lagged,power,0.58,0.7960045007033582,0.21251497005988024
RC,0,2,lagged,power,0.45,0.8098907443384988,0.2835229540918164
RC,0,3,lagged,power,0.305,0.8054378388540485,0.3267165668662675
RC,0,4,lagged,power,0.34,0.7948927813811302,0.30040918163672653
RC,0,5,lagged,power,0.29,0.7841177047195774,0.3244510978043912
RC,1,1,lagged,power,0.615,0.7566718510012825,0.17395209580838322
RC,1,2,lagged,power,0.33,0.7814022654218182,0.3212674650698603
RC,1,3,lagged,power,0.26,0.7790924230340727,0.3608083832335329
RC,1,4,lagged,power,0.395,0.728630726091618,0.27894211576846306
RC,2,1,lagged,power,0.42,0.7533751757898614,0.25412175648702595
RC,2,2,lagged,power,0.21,0.8080141096214704,0.3798702594810379
RC,2,3,lagged,power,0.335,0.8058960512124659,0.3170758483033932
RC,3,1,lagged,power,0.31,0.69663011496539,0.30581836327345313
RC,3,2,lagged,power,0.36,0.7449573790437947,0.3350199600798403
RC,4,1,lagged,power,0.265,0.6482740299590184,0.350938123752495
SS,0,1,lagged,power,0.245,0.7704782716902286,0.42604790419161676
SS,0,2,lagged,power,0.315,0.7708154293269827,0.43650698602794413
SS,0,3,lagged,power,0.315,0.7692131501405356,0.41389221556886224
SS,0,4,lagged,power,0.32,0.7648125933307209,0.4091017964071856
SS,0,5,lagged,power,0.205,0.7575507335572178,0.4392215568862275
SS,1,1,lagged,power,0.235,0.7751305509277394,0.449251497005988
SS,1,2,lagged,power,0.3,0.7738017297081573,0.4221057884231537
SS,1,3,lagged,power,0.215,0.7752314545142406,0.45968063872255494
SS,1,4,lagged,power,0.2,0.7621551024841463,0.4700499001996008
SS,2,1,lagged,power,0.195,0.8154087897015266,0.47203592814371254
SS,2,2,lagged,power,0.18,0.8163376594704692,0.45560878243512976
SS,2,3,lagged,power,0.165,0.811386583624967,0.44729540918163674
SS,3,1,lagged,power,0.115,0.9941410632558504,0.4817964071856287
SS,3,2,lagged,power,0.125,0.9981475186409406,0.46873253493013967
SS,4,1,lagged,power,0.075,1.5882161949361657,0.5161976047904191
cDM,0,1,lagged,power,0.225,,0.4576147704590819
cDM,0,2,lagged,power,0.135,,0.4331437125748503
cDM,0,3,lagged,power,0.16,,0.43240518962075847
cDM,0,4,lagged,power,0.12,,0.4301996007984032
cDM,0,5,lagged,power,0.145,,0.46277445109780435
cDM,1,1,lagged,power,0.145,,0.4713672654690619
cDM,1,2,lagged,power,0.16,,0.43427145708582837
cDM,1,3,lagged,power,0.14,,0.453003992015968
cDM,1,4,lagged,power,0.14,,0.4562075848303393
cDM,2,1,lagged,power,0.135,,0.46347305389221555
cDM,2,2,lagged,power,0.165,,0.4648403193612774
cDM,2,3,lagged,power,0.115,,0.4820558882235529
cDM,3,1,lagged,power,0.11,,0.45600798403193615
cDM,3,2,lagged,power,0.15,,0.47480039920159683
cDM,4,1,lagged,power,0.135,,0.48409181636726545
