subgroup,statistic,method,reject_rate,mean_pvalue,mean_stat,n
effective_subgroup,aipw,RV,1.0,0.0033222591362126247,-0.2513316781589316,100
null_subgroup,aipw,RV,0.11,0.5187707641196013,-0.00017406786665432813,100
