rep,assumption,subgroup,method,statistic,group_size,true_threshold,estimated_threshold,threshold_error,null_leakage,effective_purity,effective_coverage,selected_mu_min_samples_leaf,selected_b_min_samples_leaf,mean_true_tau,mean_tau_hat,pvalue,reject,stat
0,static,effective_subgroup,RV,aipw,177,3.697167441221257,3.6947099167398205,-0.002457524481436657,0.0,0.9887005649717514,1.0,40,10,-0.24717514124293785,-0.18726917907488097,0.0033222591362126247,1,-0.26073498761252195
0,static,null_subgroup,RV,aipw,323,3.697167441221257,3.6947099167398205,-0.002457524481436657,0.0,0.9887005649717514,1.0,40,10,0.0,-0.00042212446363979665,0.813953488372093,0,0.003537792376210275
1,static,effective_subgroup,RV,aipw,176,3.697167441221257,3.6947372635981,-0.002430177623157004,0.0,0.9943181818181818,1.0,40,10,-0.24857954545454544,-0.17554800236001242,0.0033222591362126247,1,-0.25432698458312863
1,static,null_subgroup,RV,aipw,324,3.697167441221257,3.6947372635981,-0.002430177623157004,0.0,0.9943181818181818,1.0,40,10,0.0,0.0,0.11295681063122924,0,0.0045000762833246385
2,static,effective_subgroup,RV,aipw,176,3.697167441221257,3.6947372635981,-0.002430177623157004,0.0,0.9943181818181818,1.0,40,10,-0.24857954545454544,-0.21714033292958732,0.0033222591362126247,1,-0.25499799367395876
2,static,null_subgroup,RV,aipw,324,3.697167441221257,3.6947372635981,-0.002430177623157004,0.0,0.9943181818181818,1.0,40,10,0.0,0.0,0.34219269102990035,0,0.0018326560823756176
3,static,effective_subgroup,RV,aipw,176,3.697167441221257,3.6959170948476068,-0.0012503463736504017,0.0,0.9943181818181818,1.0,40,10,-0.24857954545454544,-0.2074174033774419,0.0033222591362126247,1,-0.24708593593058117
3,static,null_subgroup,RV,aipw,324,3.697167441221257,3.6959170948476068,-0.0012503463736504017,0.0,0.9943181818181818,1.0,40,10,0.0,0.0,0.867109634551495,0,-0.0048300434878464854
4,static,effective_subgroup,RV,aipw,178,3.697167441221257,3.68702774075046,-0.010139700470797042,0.0,0.9831460674157303,1.0,40,10,-0.24578651685393257,-0.19718395325446014,0.0033222591362126247,1,-0.24710424338535333
4,static,null_subgroup,RV,aipw,322,3.697167441221257,3.68702774075046,-0.010139700470797042,0.0,0.9831460674157303,1.0,40,10,0.0,0.0022757670171114305,0.11295681063122924,0,0.0052172402784794476
5,static,effective_subgroup,RV,aipw,179,3.697167441221257,3.68522277661039,-0.011944664610866962,0.0,0.9776536312849162,1.0,40,10,-0.24441340782122906,-0.17706628859288473,0.0033222591362126247,1,-0.23731034118456704
