method,l,assumption,setting,reject_rate,rmse,mean_p
DM,0,lagged,power,0.185,,0.3919437006589612
DM,1,lagged,power,0.16,,0.4238840740507839
DM,2,lagged,power,0.165,,0.45239924204899934
DM,3,lagged,power,0.11,,0.4731662809574526
DM,4,lagged,power,0.115,,0.4784830339321357
Oracle,0,lagged,power,1.0,,5.096853642215409e-06
Oracle,1,lagged,power,1.0,,6.258718772252393e-05
Oracle,2,lagged,power,1.0,,0.002206726647660906
Oracle,3,lagged,power,0.945,,0.02675792383654326
Oracle,4,lagged,power,0.53,,0.13679640718562874
RC,0,lagged,power,0.55,0.8184939434689893,0.2025763595836048
RC,1,lagged,power,0.535,0.7944135398755091,0.20625890191449434
RC,2,lagged,power,0.375,0.8527869759207993,0.2651378812018889
RC,3,lagged,power,0.31,0.800687987986862,0.29260224386970696
RC,4,lagged,power,0.255,0.6958572755195948,0.342435129740519
SS,0,lagged,power,0.31,0.7817316148035967,0.4101518341218672
SS,1,lagged,power,0.23,0.7895284868577868,0.43140457259847187
SS,2,lagged,power,0.175,0.8467662087669994,0.4517359300401006
SS,3,lagged,power,0.15,1.0361217065588213,0.4692259060408102
SS,4,lagged,power,0.095,1.6432724637542961,0.49962075848303394
cDM,0,lagged,power,0.25,,0.35968872270275626
cDM,1,lagged,power,0.22,,0.40351153192345607
cDM,2,lagged,power,0.16,,0.4192324087328452
cDM,3,lagged,power,0.145,,0.4734408389200231
cDM,4,lagged,power,0.14,,0.4786626746506986
