rep,method,rmse,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
0,RC,0.9532441100787555,1.1626228078600704,0.10578842315369262,0,lagged,power,500,0.1
0,Oracle,,15.103034792487254,0.001996007984031936,1,lagged,power,500,0.1
0,DM,,-0.1029926979898679,0.6007984031936128,0,lagged,power,500,0.1
0,cDM,,0.04623136309006896,0.23353293413173654,0,lagged,power,500,0.1
0,SS,0.9277536088258889,3.9611919130823545,0.003992015968063872,1,lagged,power,500,0.1
1,RC,0.984292703918951,-0.6519961068073016,0.06986027944111776,1,lagged,power,500,0.1
1,Oracle,,9.735407259726339,0.001996007984031936,1,lagged,power,500,0.1
1,DM,,0.01669227438430699,0.4630738522954092,0,lagged,power,500,0.1
1,cDM,,0.10317124976710446,0.06786427145708583,1,lagged,power,500,0.1
1,SS,1.051371138899172,-3.496103011921574,0.7345309381237525,0,lagged,power,500,0.1
2,RC,1.0771908899029037,23.36932191116217,0.021956087824351298,1,lagged,power,500,0.1
2,Oracle,,5.967990303950729,0.001996007984031936,1,lagged,power,500,0.1
2,DM,,-0.3083624752034284,0.846307385229541,0,lagged,power,500,0.1
2,cDM,,-0.02380968742190118,0.6347305389221557,0,lagged,power,500,0.1
2,SS,0.9400034557058013,-6.0144040124982885,0.9540918163672655,0,lagged,power,500,0.1
3,RC,1.1900209618465707,-12.30966563968863,0.6686626746506986,0,lagged,power,500,0.1
3,Oracle,,12.485972017425238,0.001996007984031936,1,lagged,power,500,0.1
3,DM,,0.8202493951807442,0.001996007984031936,1,lagged,power,500,0.1
3,cDM,,0.026851097757381606,0.37325349301397204,0,lagged,power,500,0.1
3,SS,1.0168731042894545,-2.4561450546334798,0.22954091816367264,0,lagged,power,500,0.1
4,RC,0.9922338136210892,-0.26289420838807603,0.06986027944111776,1,lagged,power,500,0.1
4,Oracle,,12.596996267668755,0.001996007984031936,1,lagged,power,500,0.1
4,DM,,-0.40545398411116884,0.906187624750499,0,lagged,power,500,0.1
4,cDM,,0.00873547378759585,0.46506986027944114,0,lagged,power,500,0.1
4,SS,1.1404733979760384,-2.558082477947227,0.49101796407185627,0,lagged,power,500,0.1
5,RC,0.6506024635393343,14.866010515085842,0.001996007984031936,1,lagged,power,500,0.1
5,Oracle,,15.79387413213841,0.001996007984031936,1,lagged,power,500,0.1
5,DM,,0.5405746815188937,0.011976047904191617,1,lagged,power,500,0.1
5,cDM,,0.18820419077195635,0.001996007984031936,1,lagged,power,500,0.1
5,SS,0.8668283483588406,3.0669738267762936,0.0658682634730539,1,lagged,power,500,0.1
6,RC,0.5792843179099673,9.941220016839159,0.003992015968063872,1,lagged,power,500,0.1
6,Oracle,,12.658373871844946,0.001996007984031936,1,lagged,power,500,0.1
6,DM,,0.17428362608033227,0.2654690618762475,0,lagged,power,500,0.1
6,cDM,,0.10590127756831981,0.041916167664670656,1,lagged,power,500,0.1
6,SS,0.9786738045340546,1.0367175026215196,0.07385229540918163,1,lagged,power,500,0.1
7,RC,0.8713976737784694,-4.9478554703426525,0.3912175648702595,0,lagged,power,500,0.1
7,Oracle,,8.996160890940383,0.003992015968063872,1,lagged,power,500,0.1
7,DM,,0.018335881797953604,0.44510978043912175,0,lagged,power,500,0.1
7,cDM,,0.025915857041764325,0.3393213572854291,0,lagged,power,500,0.1
7,SS,0.8983523541332622,-1.345086912788696,0.3373253493013972,0,lagged,power,500,0.1
8,RC,0.647871624577749,4.644741798115963,0.027944111776447105,1,lagged,power,500,0.1
8,Oracle,,12.59829356289846,0.001996007984031936,1,lagged,power,500,0.1
8,DM,,-0.011959130851080942,0.5508982035928144,0,lagged,power,500,0.1
8,cDM,,0.12373092914024682,0.02594810379241517,1,lagged,power,500,0.1
8,SS,1.205658918987905,-3.6147289517311543,0.4411177644710579,0,lagged,power,500,0.1
9,RC,0.9622855386408231,-1.551793355069983,0.2954091816367265,0,lagged,power,500,0.1
9,Oracle,,13.66828951329112,0.001996007984031936,1,lagged,power,500,0.1
9,DM,,-0.45015993397978227,0.906187624750499,0,lagged,power,500,0.1
9,cDM,,0.09871107023780451,0.08582834331337326,1,lagged,power,500,0.1
9,SS,0.9723981319993081,0.30279971778824866,0.20758483033932135,0,lagged,power,500,0.1
10,RC,0.8982843421499614,2.0206790178117173,0.10978043912175649,0,lagged,power,500,0.1
10,Oracle,,13.498242196823004,0.001996007984031936,1,lagged,power,500,0.1
10,DM,,0.449958514834013,0.0499001996007984,1,lagged,power,500,0.1
10,cDM,,0.14159686308403108,0.00998003992015968,1,lagged,power,500,0.1
10,SS,1.2252850163540878,0.7438327132997159,0.281437125748503,0,lagged,power,500,0.1
11,RC,0.8688012980292195,-2.3538804488223057,0.5209580838323353,0,lagged,power,500,0.1
11,Oracle,,14.079349692208904,0.001996007984031936,1,lagged,power,500,0.1
11,DM,,-0.15869169752762333,0.7065868263473054,0,lagged,power,500,0.1
11,cDM,,-0.061406519060126834,0.8363273453093812,0,lagged,power,500,0.1
11,SS,1.1397745837971835,-0.9565043142931297,0.25149700598802394,0,lagged,power,500,0.1
12,RC,0.6589081396249937,1.5624740507718096,0.1157684630738523,0,lagged,power,500,0.1
12,Oracle,,9.103302234036407,0.001996007984031936,1,lagged,power,500,0.1
12,DM,,0.20190726819645635,0.25349301397205587,0,lagged,power,500,0.1
12,cDM,,0.045164075837356626,0.2215568862275449,0,lagged,power,500,0.1
12,SS,1.1168573919211273,-3.376540284594384,0.6706586826347305,0,lagged,power,500,0.1
13,RC,0.8446360552922995,-2.1568704717705716,0.7864271457085829,0,lagged,power,500,0.1
13,Oracle,,12.489073406689105,0.001996007984031936,1,lagged,power,500,0.1
13,DM,,0.17413102333196656,0.2634730538922156,0,lagged,power,500,0.1
13,cDM,,0.07674508843584464,0.11976047904191617,0,lagged,power,500,0.1
13,SS,1.1834007411161762,0.2023513470012693,0.6686626746506986,0,lagged,power,500,0.1
14,RC,0.9693771297247501,0.6311306146894156,0.10379241516966067,0,lagged,power,500,0.1
14,Oracle,,11.689109934782579,0.001996007984031936,1,lagged,power,500,0.1
14,DM,,-0.12758847799083295,0.6726546906187625,0,lagged,power,500,0.1
14,cDM,,0.11548664734002657,0.05788423153692615,1,lagged,power,500,0.1
14,SS,1.240037065895537,1.7505279566740135,0.03792415169660679,1,lagged,power,500,0.1
15,RC,0.6655811671103518,0.34228151432768084,0.35528942115768464,0,lagged,power,500,0.1
15,Oracle,,8.769174742504962,0.001996007984031936,1,lagged,power,500,0.1
15,DM,,0.19426170616613606,0.2315369261477046,0,lagged,power,500,0.1
15,cDM,,0.029512906890191606,0.3153692614770459,0,lagged,power,500,0.1
15,SS,1.0334915501866253,-1.8180062832897748,0.405189620758483,0,lagged,power,500,0.1
16,RC,0.7221448462455184,2.331221324890079,0.003992015968063872,1,lagged,power,500,0.1
16,Oracle,,14.504407298210316,0.001996007984031936,1,lagged,power,500,0.1
16,DM,,0.3377970853555749,0.1157684630738523,0,lagged,power,500,0.1
16,cDM,,-0.08286692584771416,0.8962075848303394,0,lagged,power,500,0.1
16,SS,1.10942522576404,-8.230912301556257,0.9960079840319361,0,lagged,power,500,0.1
17,RC,0.9076391650766488,-5.710257364296941,0.8982035928143712,0,lagged,power,500,0.1
17,Oracle,,14.62150819367651,0.001996007984031936,1,lagged,power,500,0.1
17,DM,,0.02811298839572541,0.45708582834331335,0,lagged,power,500,0.1
17,cDM,,0.07150989076435467,0.13373253493013973,0,lagged,power,500,0.1
17,SS,0.9908694709853102,2.5806298293185264,0.003992015968063872,1,lagged,power,500,0.1
18,RC,0.8809747055835312,-5.3755298880654,0.6966067864271457,0,lagged,power,500,0.1
18,Oracle,,9.618721140526674,0.001996007984031936,1,lagged,power,500,0.1
18,DM,,0.10777999904864204,0.34530938123752497,0,lagged,power,500,0.1
18,cDM,,0.016621020650533266,0.4151696606786427,0,lagged,power,500,0.1
18,SS,0.9088833776364669,0.49655277868447206,0.05389221556886228,1,lagged,power,500,0.1
19,RC,0.855380078626187,-5.157443546895168,0.5568862275449101,0,lagged,power,500,0.1
19,Oracle,,9.605882789549279,0.001996007984031936,1,lagged,power,500,0.1
19,DM,,0.14825191641205043,0.30538922155688625,0,lagged,power,500,0.1
19,cDM,,-0.11454061524309919,0.9720558882235529,0,lagged,power,500,0.1
19,SS,1.0963943818230495,-0.7282830506069013,0.21357285429141717,0,lagged,power,500,0.1
20,RC,0.9052048618175351,1.88987952625553,0.45109780439121755,0,lagged,power,500,0.1
20,Oracle,,9.658612644767896,0.001996007984031936,1,lagged,power,500,0.1
20,DM,,0.2779182019034623,0.18962075848303392,0,lagged,power,500,0.1
20,cDM,,-0.02359970594801347,0.6606786427145709,0,lagged,power,500,0.1
20,SS,1.001917520581955,-1.3148869945443529,0.20359281437125748,0,lagged,power,500,0.1
21,RC,0.8404965405917483,-0.9637253501118346,0.6107784431137725,0,lagged,power,500,0.1
21,Oracle,,7.857039877460262,0.001996007984031936,1,lagged,power,500,0.1
21,DM,,-0.025854343578814956,0.5508982035928144,0,lagged,power,500,0.1
21,cDM,,-0.0632572500587189,0.8483033932135728,0,lagged,power,500,0.1
21,SS,0.9823204229953262,-3.0209060107778227,0.31137724550898205,0,lagged,power,500,0.1
22,RC,0.7712011032221536,-0.21970170294166175,0.26147704590818366,0,lagged,power,500,0.1
22,Oracle,,8.2483572212225,0.001996007984031936,1,lagged,power,500,0.1
22,DM,,-0.13346891043891465,0.6786427145708582,0,lagged,power,500,0.1
22,cDM,,-0.06137402512840476,0.8243512974051896,0,lagged,power,500,0.1
22,SS,0.9290979150276062,-2.3777031679351635,0.6047904191616766,0,lagged,power,500,0.1
23,RC,0.9900122831813353,-5.384811693399189,0.562874251497006,0,lagged,power,500,0.1
23,Oracle,,10.904184050758436,0.001996007984031936,1,lagged,power,500,0.1
23,DM,,0.42511618043140553,0.06387225548902195,1,lagged,power,500,0.1
23,cDM,,0.0911438539861293,0.07385229540918163,1,lagged,power,500,0.1
23,SS,1.0426883770127868,1.7691030018709717,0.05788423153692615,1,lagged,power,500,0.1
24,RC,0.8222317190193764,0.6965343591586919,0.04790419161676647,1,lagged,power,500,0.1
24,Oracle,,10.27419614800493,0.001996007984031936,1,lagged,power,500,0.1
24,DM,,0.2624802248899193,0.16367265469061876,0,lagged,power,500,0.1
24,cDM,,0.07517007084043932,0.1656686626746507,0,lagged,power,500,0.1
24,SS,1.057197282050076,-3.514137924918738,0.7305389221556886,0,lagged,power,500,0.1
25,RC,0.742821796472639,1.8686659857121348,0.10379241516966067,0,lagged,power,500,0.1
25,Oracle,,7.0522171196324,0.001996007984031936,1,lagged,power,500,0.1
25,DM,,-0.06639239748011623,0.6147704590818364,0,lagged,power,500,0.1
25,cDM,,0.030997027537859708,0.32335329341317365,0,lagged,power,500,0.1
25,SS,0.9361947642675447,-1.8783493294175841,0.2055888223552894,0,lagged,power,500,0.1
26,RC,0.9902723753694586,2.7085971737633385,0.29141716566866266,0,lagged,power,500,0.1
26,Oracle,,6.51003657162813,0.001996007984031936,1,lagged,power,500,0.1
26,DM,,0.2888795711274584,0.17365269461077845,0,lagged,power,500,0.1
26,cDM,,0.19185372958166472,0.003992015968063872,1,lagged,power,500,0.1
26,SS,1.1487980741806099,-11.193477694870639,0.7325349301397206,0,lagged,power,500,0.1
27,RC,0.7772801708456617,-1.7581099306043513,0.2275449101796407,0,lagged,power,500,0.1
27,Oracle,,8.833220027889814,0.001996007984031936,1,lagged,power,500,0.1
27,DM,,0.0937985898937897,0.3273453093812375,0,lagged,power,500,0.1
27,cDM,,-0.033489339152277905,0.7265469061876247,0,lagged,power,500,0.1
27,SS,1.1564554813505157,-7.270183635836493,0.8043912175648703,0,lagged,power,500,0.1
28,RC,0.7311965661608724,-1.2517499605151061,0.23952095808383234,0,lagged,power,500,0.1
28,Oracle,,6.284492700297114,0.003992015968063872,1,lagged,power,500,0.1
28,DM,,-0.18657912940017532,0.7784431137724551,0,lagged,power,500,0.1
28,cDM,,-0.012735844420625385,0.562874251497006,0,lagged,power,500,0.1
