method,k,assumption,setting,reject_rate,rmse,mean_p
DM,1,lagged,power,0.09,,0.5370558882235529
DM,2,lagged,power,0.11,,0.4964171656686627
DM,3,lagged,power,0.12,,0.4769261477045908
DM,4,lagged,power,0.13,,0.4570758483033932
DM,5,lagged,power,0.15,,0.42899201596806386
Oracle,1,lagged,power,0.375,,0.22325349301397207
Oracle,2,lagged,power,0.555,,0.14157684630738523
Oracle,3,lagged,power,0.765,,0.0799001996007984
Oracle,4,lagged,power,0.85,,0.047694610778443114
Oracle,5,lagged,power,0.895,,0.03653692614770459
RC,1,lagged,power,0.135,0.6300060759654408,0.45550898203592816
RC,2,lagged,power,0.195,0.616197488860305,0.4123652694610779
RC,3,lagged,power,0.19,0.7711218177895652,0.3987025948103793
RC,4,lagged,power,0.3,0.8722414941084383,0.3176746506986028
RC,5,lagged,power,0.295,1.0390806229467184,0.3313972055888224
SS,1,lagged,power,0.145,1.0402961616101898,0.47075848303393214
SS,2,lagged,power,0.095,0.9688195374290257,0.4615369261477046
SS,3,lagged,power,0.17,1.0211124640167233,0.4537125748502994
SS,4,lagged,power,0.18,1.111689945777932,0.4629441117764471
SS,5,lagged,power,0.13,1.2072240421444633,0.4983832335329341
cDM,1,lagged,power,0.085,,0.5447804391217566
cDM,2,lagged,power,0.08,,0.5342814371257485
cDM,3,lagged,power,0.2,,0.4568862275449102
cDM,4,lagged,power,0.25,,0.3790319361277445
cDM,5,lagged,power,0.27,,0.3553393213572854
