method,l,t,assumption,setting,reject_rate,rmse,mean_p
DM,0,1,lagged,power,0.165,,0.46026946107784433
DM,0,2,lagged,power,0.13,,0.4568363273453094
DM,0,3,lagged,power,0.095,,0.46427145708582834
DM,0,4,lagged,power,0.135,,0.4774251497005988
DM,0,5,lagged,power,0.09,,0.48753493013972055
DM,1,1,lagged,power,0.155,,0.4496606786427146
DM,1,2,lagged,power,0.13,,0.4752395209580838
DM,1,3,lagged,power,0.08,,0.4801796407185629
DM,1,4,lagged,power,0.095,,0.5020359281437126
DM,2,1,lagged,power,0.13,,0.47895209580838327
DM,2,2,lagged,power,0.15,,0.47979041916167664
DM,2,3,lagged,power,0.065,,0.4999600798403193
DM,3,1,lagged,power,0.12,,0.4775548902195609
DM,3,2,lagged,power,0.1,,0.4995409181636727
DM,4,1,lagged,power,0.115,,0.5045109780439122
Oracle,0,1,lagged,power,0.985,,0.007664670658682634
Oracle,0,2,lagged,power,1.0,,0.0025948103792415166
Oracle,0,3,lagged,power,1.0,,0.0028842315369261473
Oracle,0,4,lagged,power,1.0,,0.003502994011976048
Oracle,0,5,lagged,power,0.955,,0.02341317365269461
Oracle,1,1,lagged,power,0.965,,0.013403193612774452
Oracle,1,2,lagged,power,1.0,,0.002465069860279441
Oracle,1,3,lagged,power,0.99,,0.005838323353293413
Oracle,1,4,lagged,power,0.93,,0.030778443113772456
Oracle,2,1,lagged,power,0.955,,0.01904191616766467
Oracle,2,2,lagged,power,1.0,,0.0042914171656686624
Oracle,2,3,lagged,power,0.87,,0.04775449101796407
Oracle,3,1,lagged,power,0.91,,0.02967065868263473
Oracle,3,2,lagged,power,0.905,,0.042295409181636726
Oracle,4,1,lagged,power,0.765,,0.07917165668662675
RC,0,1,lagged,power,0.665,0.7750177150011516,0.17505988023952096
RC,0,2,lagged,power,0.515,0.7826383527007842,0.27905189620758486
RC,0,3,lagged,power,0.365,0.7631021587072527,0.2932834331337325
RC,0,4,lagged,power,0.435,0.755490440061731,0.2543313373253493
RC,0,5,lagged,power,0.325,0.7707990597067689,0.3082634730538922
RC,1,1,lagged,power,0.655,0.7423447796363999,0.14724550898203592
RC,1,2,lagged,power,0.32,0.7786639638470545,0.3187125748502994
RC,1,3,lagged,power,0.24,0.7680900849572031,0.35085828343313374
RC,1,4,lagged,power,0.41,0.6743673000692694,0.256626746506986
RC,2,1,lagged,power,0.515,0.738900900405557,0.19993013972055887
RC,2,2,lagged,power,0.305,0.8352138686811714,0.32364271457085825
RC,2,3,lagged,power,0.35,0.77787464156223,0.31
RC,3,1,lagged,power,0.39,0.6837228722899396,0.2543812375249501
RC,3,2,lagged,power,0.36,0.7224963250609772,0.3085728542914172
RC,4,1,lagged,power,0.305,0.6169442846830452,0.2918263473053892
SS,0,1,lagged,power,0.39,0.7030551302342373,0.3706287425149701
SS,0,2,lagged,power,0.49,0.7007675107486878,0.3578542914171657
SS,0,3,lagged,power,0.495,0.6973086191979596,0.3428043912175649
SS,0,4,lagged,power,0.475,0.6919737579763438,0.34936127744510975
SS,0,5,lagged,power,0.31,0.6894906374841913,0.3844710578842315
SS,1,1,lagged,power,0.315,0.711182938298909,0.390499001996008
SS,1,2,lagged,power,0.4,0.7118011085032715,0.37408183632734526
SS,1,3,lagged,power,0.415,0.7112460787788792,0.3653992015968064
SS,1,4,lagged,power,0.24,0.7020231106999367,0.42445109780439116
SS,2,1,lagged,power,0.325,0.7687078483258004,0.3834131736526946
SS,2,2,lagged,power,0.335,0.7758123747409437,0.393562874251497
SS,2,3,lagged,power,0.175,0.7759940122112873,0.4064870259481038
SS,3,1,lagged,power,0.18,0.9359682044638451,0.4472255489021956
SS,3,2,lagged,power,0.17,0.9388506319058995,0.4243313373253493
SS,4,1,lagged,power,0.13,1.490932829898267,0.4755189620758483
cDM,0,1,lagged,power,0.21,,0.43084830339321356
cDM,0,2,lagged,power,0.17,,0.4247305389221557
cDM,0,3,lagged,power,0.145,,0.4205988023952096
cDM,0,4,lagged,power,0.18,,0.42790419161676646
cDM,0,5,lagged,power,0.11,,0.4633832335329341
cDM,1,1,lagged,power,0.215,,0.3994411177644711
cDM,1,2,lagged,power,0.11,,0.4505888223552894
cDM,1,3,lagged,power,0.15,,0.4412375249500998
cDM,1,4,lagged,power,0.09,,0.4893512974051896
cDM,2,1,lagged,power,0.12,,0.44557884231536926
cDM,2,2,lagged,power,0.18,,0.44429141716566867
cDM,2,3,lagged,power,0.12,,0.4722055888223553
cDM,3,1,lagged,power,0.12,,0.44609780439121755
cDM,3,2,lagged,power,0.11,,0.500249500998004
cDM,4,1,lagged,power,0.105,,0.5003293413173653
