method,k,assumption,setting,reject_rate,rmse,mean_p
DM,1,lagged,power,0.07,,0.5331636726546907
DM,2,lagged,power,0.07,,0.5500199600798403
DM,3,lagged,power,0.135,,0.4522155688622755
DM,4,lagged,power,0.105,,0.47019960079840317
DM,5,lagged,power,0.145,,0.4368063872255489
Oracle,1,lagged,power,0.575,,0.1310878243512974
Oracle,2,lagged,power,0.805,,0.06584830339321357
Oracle,3,lagged,power,0.92,,0.03663672654690619
Oracle,4,lagged,power,0.965,,0.02035928143712575
Oracle,5,lagged,power,0.965,,0.015319361277445109
RC,1,lagged,power,0.225,0.553060628716534,0.3874451097804391
RC,2,lagged,power,0.265,0.5833080484990883,0.38115768463073857
RC,3,lagged,power,0.365,0.7035268849796175,0.28718562874251496
RC,4,lagged,power,0.345,0.8059045603067446,0.28956087824351295
RC,5,lagged,power,0.455,0.958294562436085,0.2447804391217565
SS,1,lagged,power,0.15,0.9408597574083144,0.4660678642714571
SS,2,lagged,power,0.13,0.8674197235434478,0.48753493013972055
SS,3,lagged,power,0.175,0.9383965538270286,0.4478043912175649
SS,4,lagged,power,0.26,0.9810460646608032,0.40295409181636727
SS,5,lagged,power,0.245,1.1195911708337425,0.4186526946107784
cDM,1,lagged,power,0.095,,0.580499001996008
cDM,2,lagged,power,0.1,,0.5811377245508982
cDM,3,lagged,power,0.18,,0.43925149700598803
cDM,4,lagged,power,0.27,,0.3876147704590819
cDM,5,lagged,power,0.305,,0.32532934131736524
