subgroup,statistic,method,reject_rate,mean_pvalue,mean_stat,n
effective_subgroup,aipw,RV,1.0,0.0033222591362126247,-0.20138802485598223,100
null_subgroup,aipw,RV,0.1,0.520498338870432,-0.00034791423828412003,100
