rep,estimated_threshold,true_threshold,threshold_error,null_leakage,effective_purity,effective_coverage,selected_mu_min_samples_leaf,selected_b_min_samples_leaf
0,3.6701042987876,3.697167441221257,-0.027063142433657372,0.0,0.9668508287292817,1.0,40,10
1,3.6947372635981,3.697167441221257,-0.002430177623157004,0.0,0.9943181818181818,1.0,40,40
2,3.69419032643251,3.697167441221257,-0.0029771147887469596,0.0,0.9887005649717514,1.0,40,10
3,3.70051153834364,3.697167441221257,0.0033440971223828164,0.0061162079510703364,1.0,0.9885714285714285,40,10
4,3.66073714816766,3.697167441221257,-0.03643029305359713,0.0,0.9562841530054644,1.0,40,10
5,3.68522277661039,3.697167441221257,-0.011944664610866962,0.0,0.9776536312849162,1.0,80,10
6,3.69597919122916,3.697167441221257,-0.0011882499920972123,0.0,1.0,1.0,40,10
7,3.68522277661039,3.697167441221257,-0.011944664610866962,0.0,0.9776536312849162,1.0,60,10
8,3.69597919122916,3.697167441221257,-0.0011882499920972123,0.0,1.0,1.0,40,10
9,3.71051862921742,3.697167441221257,0.01335118799616275,0.0121580547112462,1.0,0.9771428571428571,40,10
10,3.69419032643251,3.697167441221257,-0.0029771147887469596,0.0,0.9887005649717514,1.0,40,10
11,3.66561082717458,3.697167441221257,-0.0315566140466772,0.0,0.9615384615384616,1.0,100,10
12,3.69937419120658,3.697167441221257,0.0022067499853228867,0.003067484662576687,1.0,0.9942857142857143,40,40
13,3.6937419489414043,3.697167441221257,-0.003425492279852893,0.0,0.9831460674157303,1.0,40,10
14,3.660259170105773,3.697167441221257,-0.036908271115484226,0.0,0.9510869565217391,1.0,40,10
15,3.6947372635981,3.697167441221257,-0.002430177623157004,0.0,0.9943181818181818,1.0,40,10
16,3.67188587773737,3.697167441221257,-0.025281563483887215,0.0,0.9722222222222222,1.0,100,10
17,3.64092269256804,3.697167441221257,-0.05624474865321716,0.0,0.9459459459459459,1.0,100,10
18,3.6947372635981,3.697167441221257,-0.002430177623157004,0.0,0.9943181818181818,1.0,100,40
19,3.69419032643251,3.697167441221257,-0.0029771147887469596,0.0,0.9887005649717514,1.0,100,10
20,3.69419032643251,3.697167441221257,-0.0029771147887469596,0.0,0.9887005649717514,1.0,40,10
21,3.6869374925434566,3.697167441221257,-0.010229948677800582,0.0,0.9776536312849162,1.0,40,10
22,3.67188587773737,3.697167441221257,-0.025281563483887215,0.0,0.9722222222222222,1.0,40,10
23,3.69597919122916,3.697167441221257,-0.0011882499920972123,0.0,1.0,1.0,60,10
24,3.693832197148408,3.697167441221257,-0.0033352440728493526,0.0,0.9831460674157303,1.0,60,10
25,3.6947372635981,3.697167441221257,-0.002430177623157004,0.0,0.9943181818181818,1.0,40,10
26,3.6947099167398205,3.697167441221257,-0.002457524481436657,0.0,0.9887005649717514,1.0,40,10
27,3.6701042987876,3.697167441221257,-0.027063142433657372,0.0,0.9668508287292817,1.0,60,10
