subgroup,statistic,method,reject_rate,mean_pvalue,mean_stat,n
effective_subgroup,aipw,RV,0.95,0.053156146179401995,-0.06306623496023157,100
null_subgroup,aipw,RV,0.12,0.5604318936877076,-0.0009397435266539558,100
