rep,assumption,subgroup,method,statistic,group_size,true_threshold,estimated_threshold,threshold_error,null_leakage,effective_purity,effective_coverage,selected_mu_min_samples_leaf,selected_b_min_samples_leaf,mean_true_tau,mean_tau_hat,pvalue,reject,stat
0,static,effective_subgroup,RV,aipw,361,3.697167441221257,2.4730195085005704,-1.2241479327206868,0.0,0.48476454293628807,1.0,40,10,-0.04847645429362881,-0.00390074560662278,0.0033222591362126247,1,-0.05193619456841765
0,static,null_subgroup,RV,aipw,139,3.697167441221257,2.4730195085005704,-1.2241479327206868,0.0,0.48476454293628807,1.0,40,10,0.0,-0.0048131862219265706,0.5448504983388704,0,0.0005625330577816217
1,static,effective_subgroup,RV,aipw,288,3.697167441221257,3.0042631165902933,-0.6929043246309639,0.0,0.6076388888888888,1.0,40,40,-0.06076388888888889,-0.01636998526068882,0.0033222591362126247,1,-0.05888906610663984
1,static,null_subgroup,RV,aipw,212,3.697167441221257,3.0042631165902933,-0.6929043246309639,0.0,0.6076388888888888,1.0,40,40,0.0,0.0010094894674986486,0.3122923588039867,0,0.0023078198394090132
2,static,effective_subgroup,RV,aipw,295,3.697167441221257,2.94306962097069,-0.7540978202505673,0.0,0.5932203389830508,1.0,40,10,-0.059322033898305086,-0.011358266661527573,0.0033222591362126247,1,-0.0651252436062832
2,static,null_subgroup,RV,aipw,205,3.697167441221257,2.94306962097069,-0.7540978202505673,0.0,0.5932203389830508,1.0,40,10,0.0,0.0,0.3787375415282392,0,0.0012111675025888971
3,static,effective_subgroup,RV,aipw,213,3.697167441221257,3.49793079061946,-0.1992366506017973,0.0,0.8215962441314554,1.0,60,40,-0.08215962441314552,-0.008624880102240412,0.0033222591362126247,1,-0.0856091237605796
3,static,null_subgroup,RV,aipw,287,3.697167441221257,3.49793079061946,-0.1992366506017973,0.0,0.8215962441314554,1.0,60,40,0.0,0.0,0.8837209302325582,0,-0.004796793764565538
4,static,effective_subgroup,RV,aipw,375,3.697167441221257,2.3982767634200486,-1.2988906778012086,0.0,0.4666666666666667,1.0,40,10,-0.046666666666666655,-0.01120229149390715,0.0033222591362126247,1,-0.042702531949056884
4,static,null_subgroup,RV,aipw,125,3.697167441221257,2.3982767634200486,-1.2988906778012086,0.0,0.4666666666666667,1.0,40,10,0.0,0.014022324860499145,0.46511627906976744,0,-0.0013126561960720678
5,static,effective_subgroup,RV,aipw,335,3.697167441221257,2.7151080799563556,-0.9820593612649016,0.0,0.5223880597014925,1.0,80,20,-0.05223880597014925,-0.008950176704315728,0.0033222591362126247,1,-0.054928966497257606
5,static,null_subgroup,RV,aipw,165,3.697167441221257,2.7151080799563556,-0.9820593612649016,0.0,0.5223880597014925,1.0,80,20,0.0,-0.0002847452892864822,0.09634551495016612,1,-0.0072097842342384675
6,static,effective_subgroup,RV,aipw,175,3.697167441221257,3.699204441207709,0.002036999986451793,0.0,1.0,1.0,100,40,-0.09999999999999998,-0.016842605152203864,0.0033222591362126247,1,-0.0996535586036286
6,static,null_subgroup,RV,aipw,325,3.697167441221257,3.699204441207709,0.002036999986451793,0.0,1.0,1.0,100,40,0.0,-0.00031639088744327354,0.6478405315614618,0,0.0011552421637419266
7,static,effective_subgroup,RV,aipw,367,3.697167441221257,2.4443882673493316,-1.2527791738719256,0.0,0.4768392370572207,1.0,100,10,-0.047683923705722074,-0.00997018733643984,0.0033222591362126247,1,-0.04148194101361051
7,static,null_subgroup,RV,aipw,133,3.697167441221257,2.4443882673493316,-1.2527791738719256,0.0,0.4768392370572207,1.0,100,10,0.0,0.0011821972441861451,0.23255813953488372,0,0.004747430674786364
8,static,effective_subgroup,RV,aipw,325,3.697167441221257,2.77496090638484,-0.922206534836417,0.0,0.5384615384615384,1.0,40,20,-0.05384615384615385,-0.012169889993113083,0.0033222591362126247,1,-0.057659232747734435
8,static,null_subgroup,RV,aipw,175,3.697167441221257,2.77496090638484,-0.922206534836417,0.0,0.5384615384615384,1.0,40,20,0.0,-0.0014378545841644572,0.8870431893687708,0,0.0071751351077804825
9,static,effective_subgroup,RV,aipw,371,3.697167441221257,2.4270292573851755,-1.2701381838360817,0.0,0.4716981132075472,1.0,100,40,-0.04716981132075472,0.0011269780678573615,1.0,0,-0.0368580524585974
9,static,null_subgroup,RV,aipw,129,3.697167441221257,2.4270292573851755,-1.2701381838360817,0.0,0.4716981132075472,1.0,100,40,0.0,0.0007856848848521382,0.46511627906976744,0,0.0011214319688025178
10,static,effective_subgroup,RV,aipw,289,3.697167441221257,2.99807951662234,-0.699087924598917,0.0,0.6055363321799307,1.0,100,10,-0.06055363321799308,-0.011530917433598764,0.0033222591362126247,1,-0.06475761837091025
10,static,null_subgroup,RV,aipw,211,3.697167441221257,2.99807951662234,-0.699087924598917,0.0,0.6055363321799307,1.0,100,10,0.0,0.0030412494699133224,0.5481727574750831,0,-0.0007656442886684779
11,static,effective_subgroup,RV,aipw,371,3.697167441221257,2.4270292573851755,-1.2701381838360817,0.0,0.4716981132075472,1.0,100,10,-0.04716981132075472,-0.0026338250086305635,0.0033222591362126247,1,-0.04238780791623106
11,static,null_subgroup,RV,aipw,129,3.697167441221257,2.4270292573851755,-1.2701381838360817,0.0,0.4716981132075472,1.0,100,10,0.0,0.002742965774724684,0.14285714285714285,0,0.00611224324262803
12,static,effective_subgroup,RV,aipw,363,3.697167441221257,2.46563887943034,-1.2315285617909173,0.0,0.4820936639118457,1.0,80,40,-0.048209366391184574,-0.006393624537214264,0.0033222591362126247,1,-0.05009038248954887
12,static,null_subgroup,RV,aipw,137,3.697167441221257,2.46563887943034,-1.2315285617909173,0.0,0.4820936639118457,1.0,80,40,0.0,0.0005710836159421785,0.019933554817275746,1,0.013222770609520762
13,static,effective_subgroup,RV,aipw,231,3.697167441221257,3.361572561154057,-0.3355948800672004,0.0,0.7575757575757576,1.0,60,20,-0.07575757575757575,-0.005752412173071592,0.0033222591362126247,1,-0.0763872552303891
13,static,null_subgroup,RV,aipw,269,3.697167441221257,3.361572561154057,-0.3355948800672004,0.0,0.7575757575757576,1.0,60,20,0.0,0.0,0.8571428571428571,0,-0.004852987857385183
14,static,effective_subgroup,RV,aipw,242,3.697167441221257,3.2972984527892093,-0.3998689884320479,0.0,0.7231404958677686,1.0,80,40,-0.07231404958677685,-0.01835399613901168,0.0033222591362126247,1,-0.0779438706502941
14,static,null_subgroup,RV,aipw,258,3.697167441221257,3.2972984527892093,-0.3998689884320479,0.0,0.7231404958677686,1.0,80,40,0.0,-0.00012950425701162573,0.4950166112956811,0,-0.0002071101608091837
15,static,effective_subgroup,RV,aipw,176,3.697167441221257,3.6947372635981,-0.002430177623157004,0.0,0.9943181818181818,1.0,40,10,-0.09943181818181818,-0.02424513620879987,0.0033222591362126247,1,-0.11859137964023536
15,static,null_subgroup,RV,aipw,324,3.697167441221257,3.6947372635981,-0.002430177623157004,0.0,0.9943181818181818,1.0,40,10,0.0,0.0007214551942927403,0.21262458471760798,0,0.00309960238235867
16,static,effective_subgroup,RV,aipw,274,3.697167441221257,3.10436243807944,-0.5928050031418173,0.0,0.6386861313868614,1.0,100,10,-0.06386861313868614,-0.012874350180658186,0.0033222591362126247,1,-0.07439744016630374
16,static,null_subgroup,RV,aipw,226,3.697167441221257,3.10436243807944,-0.5928050031418173,0.0,0.6386861313868614,1.0,100,10,0.0,0.0019461658575607727,0.04983388704318937,1,0.007884032009417364
17,static,effective_subgroup,RV,aipw,329,3.697167441221257,2.7330442845421254,-0.9641231566791317,0.0,0.5319148936170213,1.0,100,10,-0.05319148936170213,-0.011084949240028312,0.0033222591362126247,1,-0.05555744450505414
17,static,null_subgroup,RV,aipw,171,3.697167441221257,2.7330442845421254,-0.9641231566791317,0.0,0.5319148936170213,1.0,100,10,0.0,0.0004521238074821372,0.5714285714285714,0,-0.000865244085015579
18,static,effective_subgroup,RV,aipw,183,3.697167441221257,3.665367143224234,-0.03180029799702311,0.0,0.9562841530054644,1.0,100,10,-0.09562841530054642,-0.015595291590306749,0.0033222591362126247,1,-0.10069100512078541
