rep,estimated_threshold,true_threshold,threshold_error,null_leakage,effective_purity,effective_coverage,selected_mu_min_samples_leaf,selected_b_min_samples_leaf
0,2.4730195085005704,3.697167441221257,-1.2241479327206868,0.0,0.48476454293628807,1.0,40,10
1,3.0042631165902933,3.697167441221257,-0.6929043246309639,0.0,0.6076388888888888,1.0,40,40
2,2.94306962097069,3.697167441221257,-0.7540978202505673,0.0,0.5932203389830508,1.0,40,10
3,3.49793079061946,3.697167441221257,-0.1992366506017973,0.0,0.8215962441314554,1.0,60,40
4,2.3982767634200486,3.697167441221257,-1.2988906778012086,0.0,0.4666666666666667,1.0,40,10
5,2.7151080799563556,3.697167441221257,-0.9820593612649016,0.0,0.5223880597014925,1.0,80,20
6,3.699204441207709,3.697167441221257,0.002036999986451793,0.0,1.0,1.0,100,40
7,2.4443882673493316,3.697167441221257,-1.2527791738719256,0.0,0.4768392370572207,1.0,100,10
8,2.77496090638484,3.697167441221257,-0.922206534836417,0.0,0.5384615384615384,1.0,40,20
9,2.4270292573851755,3.697167441221257,-1.2701381838360817,0.0,0.4716981132075472,1.0,100,40
10,2.99807951662234,3.697167441221257,-0.699087924598917,0.0,0.6055363321799307,1.0,100,10
11,2.4270292573851755,3.697167441221257,-1.2701381838360817,0.0,0.4716981132075472,1.0,100,10
12,2.46563887943034,3.697167441221257,-1.2315285617909173,0.0,0.4820936639118457,1.0,80,40
13,3.361572561154057,3.697167441221257,-0.3355948800672004,0.0,0.7575757575757576,1.0,60,20
14,3.2972984527892093,3.697167441221257,-0.3998689884320479,0.0,0.7231404958677686,1.0,80,40
15,3.6947372635981,3.697167441221257,-0.002430177623157004,0.0,0.9943181818181818,1.0,40,10
16,3.10436243807944,3.697167441221257,-0.5928050031418173,0.0,0.6386861313868614,1.0,100,10
17,2.7330442845421254,3.697167441221257,-0.9641231566791317,0.0,0.5319148936170213,1.0,100,10
18,3.665367143224234,3.697167441221257,-0.03180029799702311,0.0,0.9562841530054644,1.0,100,10
19,3.4766365848852203,3.697167441221257,-0.22053085633603686,0.0,0.7954545454545454,1.0,60,40
20,2.72030809849771,3.697167441221257,-0.976859342723547,0.0,0.5271084337349398,1.0,60,20
21,2.77496090638484,3.697167441221257,-0.922206534836417,0.0,0.5384615384615384,1.0,40,20
22,2.5142780256426387,3.697167441221257,-1.1828894155786185,0.0,0.4888268156424581,1.0,100,10
23,2.5224416824514893,3.697167441221257,-1.174725758769768,0.0,0.49157303370786515,1.0,80,10
24,2.4436786006261153,3.697167441221257,-1.2534888405951419,0.0,0.4768392370572207,1.0,100,10
