rep,method,rmse,k,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
0,RV,0.8353452012219524,1,1.457210883169156,0.12574850299401197,0,static,power,500,0.1
0,Oracle,,1,0.1407648874805648,0.25748502994011974,0,static,power,500,0.1
0,DM,,1,-0.24235145227233076,0.6966067864271457,0,static,power,500,0.1
0,cDM,,1,-0.1343620878350543,0.7724550898203593,0,static,power,500,0.1
0,SS,1.1872807908075973,1,-0.48037761257016554,0.5289421157684631,0,static,power,500,0.1
0,RV,1.0093267973422062,2,2.5895844937707766,0.0499001996007984,1,static,power,500,0.1
0,Oracle,,2,0.10363341979865534,0.003992015968063872,1,static,power,500,0.1
0,DM,,2,0.1866738062954452,0.3912175648702595,0,static,power,500,0.1
0,cDM,,2,-0.830986189634234,1.0,0,static,power,500,0.1
0,SS,1.0447826197385246,2,-0.25479138523394,0.32335329341317365,0,static,power,500,0.1
0,RV,1.3749937719719028,3,2.5332163662532063,0.2694610778443114,0,static,power,500,0.1
0,Oracle,,3,1.6313561773265797,0.3073852295409182,0,static,power,500,0.1
0,DM,,3,-0.2054880523243936,0.626746506986028,0,static,power,500,0.1
0,cDM,,3,0.09562073321279221,0.37524950099800397,0,static,power,500,0.1
0,SS,1.0798745228618223,3,-0.26216383076175864,0.18163672654690619,0,static,power,500,0.1
0,RV,1.4163822284093892,4,1.1397143865482406,0.4550898203592814,0,static,power,500,0.1
0,Oracle,,4,2.2811737466225153,0.24151696606786427,0,static,power,500,0.1
0,DM,,4,1.09586663804132,0.08383233532934131,1,static,power,500,0.1
0,cDM,,4,0.25933794320849024,0.19560878243512975,0,static,power,500,0.1
0,SS,1.4044550324179619,4,0.2554842338996467,0.5588822355289421,0,static,power,500,0.1
0,RV,1.0152900915003358,5,-0.7966254348177582,0.7744510978043913,0,static,power,500,0.1
0,Oracle,,5,2.9945921084970237,0.16367265469061876,0,static,power,500,0.1
0,DM,,5,0.2838067113068793,0.3652694610778443,0,static,power,500,0.1
0,cDM,,5,0.24294980730987958,0.19560878243512975,0,static,power,500,0.1
0,SS,1.23740630076844,5,-1.165571089094191,0.437125748502994,0,static,power,500,0.1
1,RV,0.7231125346087227,1,0.34435621288868223,0.16966067864271456,0,static,power,500,0.1
1,Oracle,,1,0.7131038303305329,0.5708582834331337,0,static,power,500,0.1
1,DM,,1,0.531398010376543,0.18962075848303392,0,static,power,500,0.1
1,cDM,,1,0.08719435451605793,0.4171656686626746,0,static,power,500,0.1
1,SS,1.2792158876847939,1,-0.8797100739032135,0.2634730538922156,0,static,power,500,0.1
1,RV,0.6781104874047252,2,0.2778429018871133,0.6087824351297405,0,static,power,500,0.1
1,Oracle,,2,0.00028054760781703327,0.3772455089820359,0,static,power,500,0.1
1,DM,,2,-0.11692880946128859,0.5728542914171657,0,static,power,500,0.1
1,cDM,,2,0.18588440913048462,0.24151696606786427,0,static,power,500,0.1
1,SS,1.0078513700439493,2,0.09406794048285223,0.1996007984031936,0,static,power,500,0.1
1,RV,1.3855520236408956,3,-2.9308785917316262,0.8303393213572854,0,static,power,500,0.1
1,Oracle,,3,4.966888082925655,0.12375249500998003,0,static,power,500,0.1
1,DM,,3,-0.21276952448003297,0.6067864271457086,0,static,power,500,0.1
1,cDM,,3,0.2466911346684481,0.22554890219560877,0,static,power,500,0.1
1,SS,1.3941639849680794,3,0.1234164250109105,0.36726546906187624,0,static,power,500,0.1
1,RV,1.1369566279509506,4,0.8917341493148403,0.5029940119760479,0,static,power,500,0.1
1,Oracle,,4,0.9791147786878046,0.07584830339321358,1,static,power,500,0.1
