rep,method,rmse,l,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
0,RV,1.0943725333911394,0,-4.542495435027922,0.6526946107784432,0,static,power,500,0.1
0,Oracle,,0,6.652083552148663,0.001996007984031936,1,static,power,500,0.1
0,DM,,0,0.25686034638941396,0.1217564870259481,0,static,power,500,0.1
0,cDM,,0,-0.03401749240078195,0.6606786427145709,0,static,power,500,0.1
0,SS,0.7229361455374772,0,1.0295820151781996,0.06387225548902195,1,static,power,500,0.1
0,RV,1.122029325435935,1,3.5308567099276207,0.22954091816367264,0,static,power,500,0.1
0,Oracle,,1,10.722984789982885,0.001996007984031936,1,static,power,500,0.1
0,DM,,1,0.2332250780411586,0.1536926147704591,0,static,power,500,0.1
0,cDM,,1,-0.06059268721401301,0.7245508982035929,0,static,power,500,0.1
0,SS,0.8510117147823584,1,0.7154885267915546,0.10778443113772455,0,static,power,500,0.1
0,RV,1.120681515188802,2,11.863088577027858,0.05189620758483034,1,static,power,500,0.1
0,Oracle,,2,6.610442302049049,0.007984031936127744,1,static,power,500,0.1
0,DM,,2,0.5373452743593292,0.03792415169660679,1,static,power,500,0.1
0,cDM,,2,-0.017758073725658463,0.5249500998003992,0,static,power,500,0.1
0,SS,0.9295082835377103,2,-0.7444073744993337,0.25349301397205587,0,static,power,500,0.1
0,RV,1.0055509371894389,3,16.686491340407002,0.05189620758483034,1,static,power,500,0.1
0,Oracle,,3,4.779065907464292,0.031936127744510975,1,static,power,500,0.1
0,DM,,3,0.2594607957445803,0.2934131736526946,0,static,power,500,0.1
0,cDM,,3,-0.15916907622746074,0.8542914171656687,0,static,power,500,0.1
0,SS,1.2753104746902872,3,-3.8129433334284917,0.06187624750499002,1,static,power,500,0.1
0,RV,1.1048733203080243,4,7.07756228228355,0.3393213572854291,0,static,power,500,0.1
0,Oracle,,4,6.993025146981805,0.1317365269461078,0,static,power,500,0.1
0,DM,,4,0.7431359609839165,0.14770459081836326,0,static,power,500,0.1
0,cDM,,4,0.013063709574022253,0.45109780439121755,0,static,power,500,0.1
0,SS,1.7349431804763507,4,-6.724818252843974,0.03592814371257485,1,static,power,500,0.1
1,RV,1.0212206738583476,0,-2.8125202998734222,0.8802395209580839,0,static,power,500,0.1
1,Oracle,,0,13.83399129777835,0.001996007984031936,1,static,power,500,0.1
1,DM,,0,-0.36994723555119513,0.9461077844311377,0,static,power,500,0.1
1,cDM,,0,-0.004558141696713494,0.530938123752495,0,static,power,500,0.1
1,SS,0.830055175625932,0,-0.015310239667480019,0.5528942115768463,0,static,power,500,0.1
1,RV,0.9951304469419653,1,-3.861067726668035,0.9201596806387226,0,static,power,500,0.1
1,Oracle,,1,10.60030311964292,0.001996007984031936,1,static,power,500,0.1
1,DM,,1,-0.4231638313131115,0.9441117764471058,0,static,power,500,0.1
1,cDM,,1,0.019031995875864967,0.4351297405189621,0,static,power,500,0.1
1,SS,0.8630378140468136,1,1.0106146206988778,0.5049900199600799,0,static,power,500,0.1
1,RV,0.9885819732899003,2,2.1062822563412222,0.44510978043912175,0,static,power,500,0.1
1,Oracle,,2,4.603737680462176,0.005988023952095809,1,static,power,500,0.1
1,DM,,2,-0.5944822282452402,0.9640718562874252,0,static,power,500,0.1
1,cDM,,2,-0.106103161417398,0.8323353293413174,0,static,power,500,0.1
1,SS,1.0613224954555216,2,1.8122659184522594,0.25748502994011974,0,static,power,500,0.1
1,RV,1.021225547086002,3,1.6634986067172672,0.3073852295409182,0,static,power,500,0.1
1,Oracle,,3,5.170167021286601,0.1217564870259481,0,static,power,500,0.1
1,DM,,3,-0.5839511053125088,0.908183632734531,0,static,power,500,0.1
1,cDM,,3,-0.015626395173492846,0.5049900199600799,0,static,power,500,0.1
1,SS,1.2793246209816864,3,-0.5792773850951158,0.3972055888223553,0,static,power,500,0.1
1,RV,0.6824554264678698,4,2.0385926439414543,0.11377245508982035,0,static,power,500,0.1
1,Oracle,,4,-0.14372125935933067,0.6846307385229541,0,static,power,500,0.1
1,DM,,4,-1.259204464274628,0.9760479041916168,0,static,power,500,0.1
1,cDM,,4,0.003048174018439334,0.5389221556886228,0,static,power,500,0.1
1,SS,1.9670651281857532,4,-8.759409494628304,0.35528942115768464,0,static,power,500,0.1
2,RV,1.3370841258136106,0,11.696754105793024,0.03592814371257485,1,static,power,500,0.1
2,Oracle,,0,14.665298935603698,0.001996007984031936,1,static,power,500,0.1
2,DM,,0,0.4388884777501759,0.017964071856287425,1,static,power,500,0.1
2,cDM,,0,0.0077538082345787905,0.46107784431137727,0,static,power,500,0.1
2,SS,0.7317129204220981,0,-0.028118694706958002,0.8183632734530938,0,static,power,500,0.1
2,RV,1.2257860789310187,1,12.431452092312796,0.08782435129740519,1,static,power,500,0.1
2,Oracle,,1,10.070809054299723,0.001996007984031936,1,static,power,500,0.1
2,DM,,1,0.42220600510027095,0.029940119760479042,1,static,power,500,0.1
2,cDM,,1,-0.04479088759988985,0.688622754491018,0,static,power,500,0.1
