rep,method,rmse,l,n_terms,pvalue,reject,assumption,setting,n_perms,alpha
0,RV,1.0943725333911394,0,5,0.3196749711150263,0,static,power,500,0.1
0,Oracle,,0,5,0.0007517341227824036,1,static,power,500,0.1
0,DM,,0,5,0.06572546153341291,1,static,power,500,0.1
0,cDM,,0,5,0.6354214590856022,0,static,power,500,0.1
0,SS,0.7229361455374772,0,5,0.15439269005980155,0,static,power,500,0.1
0,RV,1.122029325435935,1,4,0.1822866046527078,0,static,power,500,0.1
0,Oracle,,1,4,0.00028543542115661534,1,static,power,500,0.1
0,DM,,1,4,0.17916358279740063,0,static,power,500,0.1
0,cDM,,1,4,0.7812632541749701,0,static,power,500,0.1
0,SS,0.8510117147823584,1,4,0.21147883831721123,0,static,power,500,0.1
0,RV,1.120681515188802,2,3,0.03852486289406378,1,static,power,500,0.1
0,Oracle,,2,3,0.015443127574470831,1,static,power,500,0.1
0,DM,,2,3,0.042560322444165424,1,static,power,500,0.1
0,cDM,,2,3,0.4664779838693863,0,static,power,500,0.1
0,SS,0.9295082835377103,2,3,0.27743771096453235,0,static,power,500,0.1
0,RV,1.0055509371894389,3,2,0.058713616267739806,1,static,power,500,0.1
0,Oracle,,3,2,0.032856957726454826,1,static,power,500,0.1
0,DM,,3,2,0.3676985374510167,0,static,power,500,0.1
0,cDM,,3,2,0.4185969291368159,0,static,power,500,0.1
0,SS,1.2753104746902872,3,2,0.01966068626385924,1,static,power,500,0.1
0,RV,1.1048733203080243,4,1,0.33932135728542906,0,static,power,500,0.1
0,Oracle,,4,1,0.1317365269461078,0,static,power,500,0.1
0,DM,,4,1,0.14770459081836326,0,static,power,500,0.1
0,cDM,,4,1,0.4510978043912177,0,static,power,500,0.1
0,SS,1.7349431804763507,4,1,0.03592814371257485,1,static,power,500,0.1
1,RV,1.0212206738583476,0,5,0.07551736856343706,1,static,power,500,0.1
1,Oracle,,0,5,5.941833977121602e-05,1,static,power,500,0.1
1,DM,,0,5,0.8648970169221704,0,static,power,500,0.1
1,cDM,,0,5,0.6375026633026606,0,static,power,500,0.1
1,SS,0.830055175625932,0,5,0.42136260534924236,0,static,power,500,0.1
1,RV,0.9951304469419653,1,4,0.6250354040778868,0,static,power,500,0.1
1,Oracle,,1,4,0.0009978119281446487,1,static,power,500,0.1
1,DM,,1,4,0.7784703618375922,0,static,power,500,0.1
1,cDM,,1,4,0.4771078178526388,0,static,power,500,0.1
1,SS,0.8630378140468136,1,4,0.37908039477715794,0,static,power,500,0.1
1,RV,0.9885819732899003,2,3,0.11240132077482334,0,static,power,500,0.1
1,Oracle,,2,3,0.04421511678136822,1,static,power,500,0.1
1,DM,,2,3,0.9135575441610823,0,static,power,500,0.1
1,cDM,,2,3,0.8484778130353412,0,static,power,500,0.1
1,SS,1.0613224954555216,2,3,0.3835684417849537,0,static,power,500,0.1
1,RV,1.021225547086002,3,2,0.39465836693739803,0,static,power,500,0.1
1,Oracle,,3,2,0.18151100104072623,0,static,power,500,0.1
1,DM,,3,2,0.9451149008648869,0,static,power,500,0.1
1,cDM,,3,2,0.46843562366578084,0,static,power,500,0.1
1,SS,1.2793246209816864,3,2,0.3362053461576998,0,static,power,500,0.1
1,RV,0.6824554264678698,4,1,0.11377245508982033,0,static,power,500,0.1
1,Oracle,,4,1,0.684630738522954,0,static,power,500,0.1
1,DM,,4,1,0.9760479041916168,0,static,power,500,0.1
1,cDM,,4,1,0.5389221556886228,0,static,power,500,0.1
1,SS,1.9670651281857532,4,1,0.35528942115768447,0,static,power,500,0.1
2,RV,1.3370841258136106,0,5,0.04505981571313731,1,static,power,500,0.1
2,Oracle,,0,5,1.9237974878765313e-06,1,static,power,500,0.1
2,DM,,0,5,0.024874838435559862,1,static,power,500,0.1
2,cDM,,0,5,0.6182802125832298,0,static,power,500,0.1
2,SS,0.7317129204220981,0,5,0.8008559736959536,0,static,power,500,0.1
2,RV,1.2257860789310187,1,4,0.07103638419804165,1,static,power,500,0.1
2,Oracle,,1,4,0.00037317738964648704,1,static,power,500,0.1
2,DM,,1,4,0.05980153258429288,1,static,power,500,0.1
2,cDM,,1,4,0.6328484994372257,0,static,power,500,0.1
2,SS,0.8036912675961305,1,4,0.9863503630976472,0,static,power,500,0.1
2,RV,1.2649794380956756,2,3,0.16237998478000654,0,static,power,500,0.1
2,Oracle,,2,3,0.0012179584250912882,1,static,power,500,0.1
2,DM,,2,3,0.06825349397912618,1,static,power,500,0.1
2,cDM,,2,3,0.9045417527286174,0,static,power,500,0.1
2,SS,0.9978955296903925,2,3,0.5361493659244321,0,static,power,500,0.1
2,RV,1.2487993186085429,3,2,0.05446771829782665,1,static,power,500,0.1
2,Oracle,,3,2,0.020496767520641727,1,static,power,500,0.1
2,DM,,3,2,0.06223739615241598,1,static,power,500,0.1
2,cDM,,3,2,0.6622539674435486,0,static,power,500,0.1
2,SS,1.3584909948329429,3,2,0.6631621608432454,0,static,power,500,0.1
2,RV,0.920958076960464,4,1,0.051896207584830344,1,static,power,500,0.1
2,Oracle,,4,1,0.14970059880239517,0,static,power,500,0.1
2,DM,,4,1,0.057884231536926144,1,static,power,500,0.1
2,cDM,,4,1,0.6127744510978046,0,static,power,500,0.1
2,SS,1.2697955844395876,4,1,0.5489021956087825,0,static,power,500,0.1
3,RV,1.0502436929785344,0,5,0.3191233153770473,0,static,power,500,0.1
3,Oracle,,0,5,6.514428617203643e-06,1,static,power,500,0.1
3,DM,,0,5,0.4788037070268586,0,static,power,500,0.1
3,cDM,,0,5,0.42274314268479185,0,static,power,500,0.1
3,SS,0.8075655788097971,0,5,0.5953884480903021,0,static,power,500,0.1
3,RV,1.0377969961429285,1,4,0.23807431111605826,0,static,power,500,0.1
3,Oracle,,1,4,0.0004378972904707914,1,static,power,500,0.1
3,DM,,1,4,0.5592550663838496,0,static,power,500,0.1
3,cDM,,1,4,0.19886477463230348,0,static,power,500,0.1
3,SS,0.8756565732088941,1,4,0.43395849546475684,0,static,power,500,0.1
3,RV,1.0293950903137812,2,3,0.20809186732519058,0,static,power,500,0.1
3,Oracle,,2,3,0.018190744473729974,1,static,power,500,0.1
3,DM,,2,3,0.8894852761544676,0,static,power,500,0.1
3,cDM,,2,3,0.25719706648577495,0,static,power,500,0.1
3,SS,0.9721803841698408,2,3,0.734371207909644,0,static,power,500,0.1
3,RV,0.9106246465870931,3,2,0.07338711056909795,1,static,power,500,0.1
3,Oracle,,3,2,0.09573616773812621,1,static,power,500,0.1
3,DM,,3,2,0.6885932091617992,0,static,power,500,0.1
