subgroup,statistic,method,reject_rate,mean_pvalue,mean_stat,n
effective_subgroup,aipw,RV,1.0,0.0033222591362126247,-0.3002182078021856,100
null_subgroup,aipw,RV,0.11,0.5056478405315614,-0.00016600696411727005,100
